,permitnumber,worktype,permittypedescr,declared_valuation,occupancytype,city
817,ERT9297,CONVRT,Erect/New Construction,0.0, ,Hyde Park
818,ERT9297,CONVRT,Erect/New Construction,0.0, ,Hyde Park
819,ERT106175,ERECT,Erect/New Construction,14500000.0,Multi,Allston
820,ERT220567,ERECT,Erect/New Construction,18411326.0,Multi,Allston
821,ERT296057,NEWCON,Erect/New Construction,400000.0,1-2FAM,Allston
822,ERT325087,NEWCON,Erect/New Construction,17119146.0,Comm,Boston
823,ERT611289,ERECT,Erect/New Construction,531845387.0,Mixed,Boston
824,ERT63770,ERECT,Erect/New Construction,90000000.0,Mixed,Boston
825,ERT78394,NEWCON,Erect/New Construction,100104000.0,Mixed,Boston
826,ERT78394,NEWCON,Erect/New Construction,100104000.0,Mixed,Boston
827,ERT860060,ERECT,Erect/New Construction,700000000.0,VacLd,Boston
828,ERT1053453,ERECT,Erect/New Construction,666000.0,1-2FAM,Roslindale
829,ERT120146,NEWCON,Erect/New Construction,256000.0,1-2FAM,Roslindale
830,ERT39568,NEWCON,Erect/New Construction,200000.0,1-2FAM,Roslindale
831,ERT564224,ERECT,Erect/New Construction,326000.0,1-2FAM,Roslindale
832,ERT693527,ERECT,Erect/New Construction,310000.0,1-2FAM,Roslindale
833,ERT108972,ERECT,Erect/New Construction,300000.0,1-2FAM,Jamaica Plain
834,ERT149987,ERECT,Erect/New Construction,450000.0,1-3FAM,Jamaica Plain
835,ERT162879,NEWCON,Erect/New Construction,702000.0,Multi,Jamaica Plain
836,ERT131190,ERECT,Erect/New Construction,300000.0,Other,Dorchester
837,ERT353219,NEWCON,Erect/New Construction,400000.0,1-3FAM,Dorchester
838,ERT437502,ERECT,Erect/New Construction,425000.0,Mixed,Dorchester
839,ERT54003,ERECT,Erect/New Construction,170000.0,1-2FAM,Dorchester
840,ERT583995,ERECT,Erect/New Construction,378560.0,VacLd,Dorchester
841,ERT623211,ERECT,Erect/New Construction,700000.0,VacLd,Dorchester
842,ERT1053313,ERECT,Erect/New Construction,41275352.0,Mixed,South Boston
843,ERT163580,NEWCON,Erect/New Construction,11000000.0,Multi,South Boston
844,ERT163584,NEWCON,Erect/New Construction,14500000.0,Multi,South Boston
845,ERT354741,ERECT,Erect/New Construction,2555000.0,Multi,South Boston
846,ERT532126,ERECT,Erect/New Construction,1375000.0,Multi,South Boston
847,ERT532126,ERECT,Erect/New Construction,1375000.0,Multi,South Boston
848,ERT8521,CONVRT,Erect/New Construction,0.0, ,South Boston
849,ERT8521,CONVRT,Erect/New Construction,0.0, ,South Boston
850,ERT937791,ERECT,Erect/New Construction,26901207.0,Mixed,South Boston
851,ERT937794,ERECT,Erect/New Construction,14367690.0,Multi,South Boston
852,ERT124383,ERECT,Erect/New Construction,150000000.0,Mixed,Boston
853,ERT135738,NEWCON,Erect/New Construction,6000000.0,Multi,Boston
854,ERT227897,NEWCON,Erect/New Construction,8887500.0,Comm,Boston
855,ERT678768,ERECT,Erect/New Construction,87000.0,Comm,Boston
856,ERT971653,COB,Erect/New Construction,95000000.0,Mixed,Boston
857,ERT288876,ERECT,Erect/New Construction,400000.0,1-2FAM,Brighton
858,ERT446101,ERECT,Erect/New Construction,14122389.0,Multi,Brighton
859,ERT452209,NEWCON,Erect/New Construction,2300000.0,Comm,Brighton
860,ERT826544,ERECT,Erect/New Construction,210000.0,VacLd,Brighton
861,ERT88303,NEWCON,Erect/New Construction,200000.0,1-2FAM,Brighton
862,ERT220379,ERECT,Erect/New Construction,20600000.0,Comm,Boston
863,ERT340679,ERECT,Erect/New Construction,0.0,Comm,Boston
864,ERT584200,ERECT,Erect/New Construction,96000000.0,Comm,Boston
865,ERT217027,NEWCON,Erect/New Construction,200000.0,1-3FAM,Mattapan
866,ERT322411,NEWCON,Erect/New Construction,250000.0,1-3FAM,Mattapan
867,ERT357878,ERECT,Erect/New Construction,15000000.0,Other,Mattapan
868,ERT357878,ERECT,Erect/New Construction,15000000.0,Other,Mattapan
869,ERT545824,OTHER,Erect/New Construction,400000.0,1-3FAM,Mattapan
870,ERT632550,ERECT,Erect/New Construction,317973.0,VacLd,Mattapan
871,ERT632554,ERECT,Erect/New Construction,322283.0,VacLd,Mattapan
872,ERT632558,ERECT,Erect/New Construction,322283.0,VacLd,Mattapan
873,ERT632567,ERECT,Erect/New Construction,442813.0,VacLd,Mattapan
874,ERT677902,ERECT,Erect/New Construction,450000.0,VacLd,Mattapan
875,ERT286303,ERECT,Erect/New Construction,10000000.0,Mixed,Boston
876,ERT64881,GARAGE,Erect/New Construction,25000.0,Other,Brighton
877,ERT418701,ERECT,Erect/New Construction,300000.0,1-2FAM,Dorchester
878,ERT691639,ERECT,Erect/New Construction,300000.0,VacLd,Dorchester
879,ERT833204,ERECT,Erect/New Construction,450000.0,1-3FAM,Dorchester
880,ERT1030574,ERECT,Erect/New Construction,250000.0,1-2FAM,Brighton
881,ERT423037,ERECT,Erect/New Construction,210000.0,1-2FAM,Brighton
882,ERT201272,ERECT,Erect/New Construction,300000.0,1-3FAM,Mattapan
883,ERT316554,ERECT,Erect/New Construction,300000.0,1-3FAM,Mattapan
884,ERT382330,ERECT,Erect/New Construction,315000.0,1-3FAM,Mattapan
885,ERT632548,ERECT,Erect/New Construction,369322.0,VacLd,Mattapan
886,ERT325829,NEWCON,Erect/New Construction,215000.0,1-2FAM,Jamaica Plain
887,ERT236643,NEWCON,Erect/New Construction,1405000.0,Multi,Dorchester
888,ERT514604,ERECT,Erect/New Construction,500000.0,1-3FAM,Dorchester
889,ERT607357,ERECT,Erect/New Construction,600000.0,1-2FAM,Dorchester
890,ERT732528,ERECT,Erect/New Construction,2000000.0,Comm,Dorchester
891,ERT732528,ERECT,Erect/New Construction,2000000.0,Comm,Dorchester
892,ERT732535,ERECT,Erect/New Construction,950000.0,Multi,Dorchester
893,ERT753144,ERECT,Erect/New Construction,4103760.0,Comm,Dorchester
894,ERT849071,ERECT,Erect/New Construction,500000.0,1-3FAM,Dorchester
895,ERT354745,NEWCON,Erect/New Construction,65000000.0,Mixed,Boston
896,ERT536891,ERECT,Erect/New Construction,205234268.0,Mixed,Boston
897,ERT779522,ERECT,Erect/New Construction,215248597.0,Comm,Boston
898,ERT432782,ERECT,Erect/New Construction,45000000.0,Mixed,Boston
899,ERT433266,ERECT,Erect/New Construction,700000.0,1-4FAM,East Boston
900,ERT763587,ERECT,Erect/New Construction,350000.0,1-2FAM,East Boston
901,ERT763587,ERECT,Erect/New Construction,350000.0,1-2FAM,East Boston
902,ERT855701,ERECT,Erect/New Construction,500000.0,1-2FAM,East Boston
903,ERT891382,ERECT,Erect/New Construction,43508822.0,Mixed,East Boston
904,ERT414840,NEWCON,Erect/New Construction,2600000.0,Multi,Boston
905,ERT147656,ERECT,Erect/New Construction,3551438.58,Multi,Boston
906,ERT397914,NEWCON,Erect/New Construction,350000.0,1-3FAM,Dorchester
907,ERT561943,COB,Erect/New Construction,300000.0,1-2FAM,Dorchester
908,ERT561961,COB,Erect/New Construction,250000.0,1-2FAM,Dorchester
909,ERT561963,COB,Erect/New Construction,250000.0,1-2FAM,Dorchester
910,ERT561966,COB,Erect/New Construction,300000.0,1-2FAM,Dorchester
911,ERT618506,ERECT,Erect/New Construction,240000.0,VacLd,Dorchester
912,ERT619026,ERECT,Erect/New Construction,240000.0,VacLd,Dorchester
913,ERT803537,ERECT,Erect/New Construction,503332.95,VacLd,Dorchester
914,ERT427398,ERECT,Erect/New Construction,6500000.0,Multi,East Boston
915,ERT667920,ERECT,Erect/New Construction,1000000.0,Multi,Dorchester
916,ERT667892,ERECT,Erect/New Construction,400000.0,1-2FAM,Dorchester
917,ERT667916,ERECT,Erect/New Construction,400000.0,1-2FAM,Dorchester
918,ERT667918,ERECT,Erect/New Construction,1000000.0,Multi,Dorchester
919,ERT1028757,ERECT,Erect/New Construction,11945.0,Other,Dorchester
920,ERT446255,ERECT,Erect/New Construction,1756500.0,Mixed,Dorchester
921,ERT529605,ERECT,Erect/New Construction,350000.0,1-2FAM,Dorchester
922,ERT55452,NEWCON,Erect/New Construction,200000.0,1-2FAM,Dorchester
923,ERT55452,NEWCON,Erect/New Construction,200000.0,1-2FAM,Dorchester
924,ERT804434,ERECT,Erect/New Construction,400000.0,VacLd,Dorchester
925,ERT476974,NEWCON,Erect/New Construction,500000.0,1-3FAM,Dorchester
926,ERT600996,ERECT,Erect/New Construction,900000.0,Comm,Dorchester
927,ERT707032,ERECT,Erect/New Construction,347477.0,1-2FAM,Hyde Park
928,ERT528722,ERECT,Erect/New Construction,1000000.0,Multi,South Boston
929,ERT173960,COB,Erect/New Construction,300000.0,Other,East Boston
930,ERT663475,ERECT,Erect/New Construction,650000.0,Multi,East Boston
931,ERT677659,ERECT,Erect/New Construction,1404000.0,Multi,East Boston
932,ERT677659,ERECT,Erect/New Construction,1404000.0,Multi,East Boston
933,ERT681285,ERECT,Erect/New Construction,506000.0,1-2FAM,East Boston
934,ERT835822,ERECT,Erect/New Construction,707000.0,1-2FAM,East Boston
935,ERT906170,ERECT,Erect/New Construction,1063499.0,Multi,East Boston
936,ERT936166,ERECT,Erect/New Construction,1500000.0,Multi,East Boston
937,ERT485268,ERECT,Erect/New Construction,450000.0,1-3FAM,Dorchester
938,ERT704503,ERECT,Erect/New Construction,750000.0,Mixed,Dorchester
939,ERT818837,ERECT,Erect/New Construction,350000.0,VacLd,Dorchester
940,ERT690730,ERECT,Erect/New Construction,800000.0,1-2FAM,Charlestown
941,ERT662457,ERECT,Erect/New Construction,700000.0,Comm,Brighton
942,ERT833960,ERECT,Erect/New Construction,300000.0,1-2FAM,Roslindale
943,ERT917537, ,Erect/New Construction,230000.0,1-2FAM,Roslindale
944,ERT987106,ERECT,Erect/New Construction,1600000.0,1-3FAM,Jamaica Plain
945,ERT652809,ERECT,Erect/New Construction,150000000.0,Mixed,Boston
946,ERT652809,ERECT,Erect/New Construction,150000000.0,Mixed,Boston
947,ERT782631,ERECT,Erect/New Construction,4700000.0,Multi,East Boston
948,ERT840663,ERECT,Erect/New Construction,4453780.0,Comm,East Boston
949,ERT924772,ERECT,Erect/New Construction,1195950.0,Multi,East Boston
950,ERT1067134,ERECT,Erect/New Construction,7023271.0,Multi,Mission Hill
951,ERT1067391,ERECT,Erect/New Construction,8938709.0,Multi,Mission Hill
952,ERT27718,ERECT,Erect/New Construction,21410000.0,Comm,Mission Hill
953,ERT27718,ERECT,Erect/New Construction,21410000.0,Comm,Mission Hill
954,ERT814344,ERECT,Erect/New Construction,5492187.0,VacLd,Roxbury
955,ERT14801,ERECT,Erect/New Construction,540000.0,1-3FAM,Roxbury
956,ERT23984,NEWCON,Erect/New Construction,15605000.0,Mixed,Mattapan
957,ERT929105,ERECT,Erect/New Construction,450000.0,Multi,Mattapan
958,ERT974625,ERECT,Erect/New Construction,1086263.0,1-4FAM,Mattapan
959,ERT338390,ERECT,Erect/New Construction,200000.0,1-3FAM,Roslindale
960,ERT525461,ERECT,Erect/New Construction,2500000.0,Mixed,Mission Hill
961,ERT580730,ERECT,Erect/New Construction,4000000.0,Comm,Dorchester
962,ERT703609,ERECT,Erect/New Construction,6338911.0,Mixed,Boston
963,ERT716802,ERECT,Erect/New Construction,1200000.0,1-4FAM,Boston
964,ERT72626,NEWCON,Erect/New Construction,250000.0,1-2FAM,Charlestown
965,ERT72628,NEWCON,Erect/New Construction,250000.0,1-2FAM,Charlestown
966,ERT792599,ERECT,Erect/New Construction,5000000.0,1-3FAM,Mission Hill
967,ERT851815,ERECT,Erect/New Construction,508400.0,1-2FAM,Mission Hill
968,ERT9605,CONVRT,Erect/New Construction,0.0, ,Jamaica Plain
969,ERT9605,CONVRT,Erect/New Construction,0.0, ,Jamaica Plain
970,ALT111696,NEWCON,Long Form/Alteration Permit,600000.0,Multi,South Boston
971,ALT23556,ERECT,Long Form/Alteration Permit,20000.0,1-3FAM,South Boston
972,ALT19339,ERECT,Long Form/Alteration Permit,15000.0,1-3FAM,South Boston
973,ALT48834,ERECT,Long Form/Alteration Permit,15000.0,1-3FAM,South Boston
974,ALT499919,ERECT,Long Form/Alteration Permit,8000.0,1-2FAM,South Boston
975,ALT315168,ERECT,Long Form/Alteration Permit,40000.0,1-4FAM,Jamaica Plain
976,ALT205259,NEWCON,Long Form/Alteration Permit,11197000.0,Other,Boston
977,ALT11844,NEWCON,Long Form/Alteration Permit,8000.0,1-3FAM,Jamaica Plain
978,ALT407665,NEWCON,Long Form/Alteration Permit,7000.0,1-3FAM,South Boston
979,ALT458565,ERECT,Long Form/Alteration Permit,22306350.0,Multi,Roxbury
980,ALT45618,NEWCON,Long Form/Alteration Permit,8000.0,1-2FAM,Roxbury
981,ALT104333,NEWCON,Long Form/Alteration Permit,251972.0,Other,Boston
982,ALT104333,NEWCON,Long Form/Alteration Permit,251972.0,Other,Boston
983,ALT104333,NEWCON,Long Form/Alteration Permit,251972.0,Other,Boston
984,ALT104333,NEWCON,Long Form/Alteration Permit,251972.0,Other,Boston
985,ALT446072,ERECT,Long Form/Alteration Permit,3000.0,Mixed,Boston
986,ALT48788,NEWCON,Long Form/Alteration Permit,1.0,1-3FAM,South Boston
987,ALT69916,ERECT,Long Form/Alteration Permit,5000.0,1-3FAM,South Boston
988,ALT567515,NEWCON,Long Form/Alteration Permit,50768600.0,VacLd,Dorchester
989,ALT48348,ERECT,Long Form/Alteration Permit,5000.0,1-2FAM,South Boston
990,ALT90395,NEWCON,Long Form/Alteration Permit,12500.0,1-2FAM,Roslindale
991,ALT114683,NEWCON,Long Form/Alteration Permit,306500.0,Comm,Boston
992,ALT114683,NEWCON,Long Form/Alteration Permit,306500.0,Comm,Boston
993,ALT862229,ERECT,Long Form/Alteration Permit,647065.0,Mixed,Boston
994,ALT116609,ERECT,Long Form/Alteration Permit,13300.0,1-2FAM,West Roxbury
995,ALT36738,NEWCON,Long Form/Alteration Permit,15420.0,1-2FAM,Roslindale
996,ALT11780,ERECT,Long Form/Alteration Permit,4000.0,1-2FAM,East Boston
997,ALT480183,NEWCON,Long Form/Alteration Permit,35000.0,1-3FAM,East Boston
998,ALT123387,NEWCON,Long Form/Alteration Permit,9999.95,1-2FAM,Dorchester
999,ALT14899,NEWCON,Long Form/Alteration Permit,3000.0,Comm,Boston
1000,ALT570665,ERECT,Long Form/Alteration Permit,25800.0,1-2FAM,Dorchester
1001,ALT17869,ERECT,Long Form/Alteration Permit,3000.0,Mixed,Dorchester
1002,ALT559244,NEWCON,Long Form/Alteration Permit,13535000.0,Comm,Dorchester
1003,ALT184543,NEWCON,Long Form/Alteration Permit,465000.0,Comm,Boston
1004,ALT195548,ERECT,Long Form/Alteration Permit,50000.0,Comm,Allston
1005,ALT37881,NEWCON,Long Form/Alteration Permit,500000.0,Other,Allston
1006,ALT195575,ERECT,Long Form/Alteration Permit,42000.0,Comm,Brighton
1007,ALT197451,NEWCON,Long Form/Alteration Permit,9000000.0,Other,East Boston
1008,ALT311768,ERECT,Long Form/Alteration Permit,14000.0,1-3FAM,East Boston
1009,ALT201555,NEWCON,Long Form/Alteration Permit,7445000.0,Comm,Dorchester
1010,ALT21339,NEWCON,Long Form/Alteration Permit,900000.0,Comm,Boston
1011,ALT316445,NEWCON,Long Form/Alteration Permit,4500000.0,1-2FAM,Boston
1012,ALT22123,NEWCON,Long Form/Alteration Permit,1400000.0,Other,Boston
1013,ALT22123,NEWCON,Long Form/Alteration Permit,1400000.0,Other,Boston
1014,ALT25010,NEWCON,Long Form/Alteration Permit,1200000.0,Comm,Boston
1015,ALT25010,NEWCON,Long Form/Alteration Permit,1200000.0,Comm,Boston
1016,ALT23004,NEWCON,Long Form/Alteration Permit,8500.0,1-2FAM,Allston
1017,ALT26220,NEWCON,Long Form/Alteration Permit,1000.0,1-2FAM,West Roxbury
1018,ALT478428,ERECT,Long Form/Alteration Permit,6000.0,1-2FAM,West Roxbury
1019,ALT28065,NEWCON,Long Form/Alteration Permit,8000.0,1-2FAM,Dorchester
1020,ALT299631,NEWCON,Long Form/Alteration Permit,60200.0,1-2FAM,Brighton
1021,ALT303206,ERECT,Long Form/Alteration Permit,21000.0,1-3FAM,Hyde Park
1022,ALT314826,ERECT,Long Form/Alteration Permit,3500.0,1-2FAM,Brighton
1023,ALT44709,ERECT,Long Form/Alteration Permit,10000.0,1-2FAM,Brighton
1024,ALT318251,NEWCON,Long Form/Alteration Permit,54250.0,Multi,Boston
1025,ALT323254,NEWCON,Long Form/Alteration Permit,350000.0,Comm,Roxbury
1026,ALT543370,NEWCON,Long Form/Alteration Permit,5592939.0,Comm,Roxbury
1027,ALT323617,ERECT,Long Form/Alteration Permit,108000.0,Comm,Boston
1028,ALT34032,ERECT,Long Form/Alteration Permit,9000.0,Mixed,South Boston
1029,ALT41529,NEWCON,Long Form/Alteration Permit,8000.0,Mixed,South Boston
1030,ALT349121,ERECT,Long Form/Alteration Permit,1000.0,1-2FAM,Hyde Park
1031,ALT374723,NEWCON,Long Form/Alteration Permit,5000.0,1-2FAM,Hyde Park
1032,ALT44837,ERECT,Long Form/Alteration Permit,68000.0,Other,Hyde Park
1033,ALT466837,NEWCON,Long Form/Alteration Permit,98800.0,1-2FAM,Charlestown
1034,ALT516693,NEWCON,Long Form/Alteration Permit,15600.0,1-2FAM,Roslindale
1035,ALT527176,ERECT,Long Form/Alteration Permit,0.0,1-2FAM,West Roxbury
1036,ALT837584,ERECT,Long Form/Alteration Permit,15800.0,1-2FAM,West Roxbury
1037,ALT52945,ERECT,Long Form/Alteration Permit,23100.0,1-4FAM,Dorchester
1038,ALT55085,NEWCON,Long Form/Alteration Permit,3000000.0,Comm,Hyde Park
1039,ALT621662,ERECT,Long Form/Alteration Permit,110000.0,1-2FAM,Dorchester
1040,ALT68293,ERECT,Long Form/Alteration Permit,100000.0,VacLd,Boston
1041,ALT684516,ERECT,Long Form/Alteration Permit,21500.0,1-3FAM,Roxbury
1042,A1048,ERECT,Amendment to a Long Form,0.0,Mixed,Mission Hill
1043,A21302,NEWCON,Amendment to a Long Form,15000.0,Mixed,Mission Hill
1044,A121115,ERECT,Amendment to a Long Form,0.0,Comm,West Roxbury
1045,A121135,ERECT,Amendment to a Long Form,12000.0,1-2FAM,South Boston
1046,A241535,NEWCON,Amendment to a Long Form,1000.0,Multi,South Boston
1047,A524079,NEWCON,Amendment to a Long Form,5000.0,1-3FAM,South Boston
1048,A176767,NEWCON,Amendment to a Long Form,0.0,Mixed,Roslindale
1049,A18115,NEWCON,Amendment to a Long Form,625000.0,Other,Boston
1050,A20454,NEWCON,Amendment to a Long Form,3000.0,1-2FAM,Roxbury
1051,A198732,ERECT,Amendment to a Long Form,0.0,1-4FAM,East Boston
1052,A198733,ERECT,Amendment to a Long Form,0.0,1-4FAM,East Boston
1053,A198734,ERECT,Amendment to a Long Form,0.0,1-4FAM,East Boston
1054,A326370,NEWCON,Amendment to a Long Form,0.0,Multi,East Boston
1055,A326373,NEWCON,Amendment to a Long Form,0.0,Multi,East Boston
1056,A247579,NEWCON,Amendment to a Long Form,0.0,1-3FAM,Mission Hill
1057,A275267,NEWCON,Amendment to a Long Form,3000.0,1-2FAM,South Boston
1058,A81312,NEWCON,Amendment to a Long Form,0.0,1-2FAM,South Boston
1059,A301034,NEWCON,Amendment to a Long Form,500.0,1-3FAM,Jamaica Plain
1060,A314474,NEWCON,Amendment to a Long Form,2500.0,Comm,Boston
1061,A319346,NEWCON,Amendment to a Long Form,0.0,Multi,Dorchester
1062,A319357,NEWCON,Amendment to a Long Form,0.0,Multi,Dorchester
1063,A319360,NEWCON,Amendment to a Long Form,0.0,Multi,Dorchester
1064,A350611,ERECT,Amendment to a Long Form,0.0,1-2FAM,Jamaica Plain
1065,A366263,NEWCON,Amendment to a Long Form,200000.0,Comm,Roxbury
1066,A405238,ERECT,Amendment to a Long Form,0.0,1-4FAM,South Boston
1067,A409007,ERECT,Amendment to a Long Form,0.0,1-3FAM,Jamaica Plain
1068,A425659,NEWCON,Amendment to a Long Form,0.0,1-2FAM,Jamaica Plain
1069,A418948,NEWCON,Amendment to a Long Form,0.0,Multi,Dorchester
1070,A432103,ERECT,Amendment to a Long Form,30000.0,Other,Roxbury
1071,A443896,ERECT,Amendment to a Long Form,0.0,Mixed,Boston
1072,A451389,NEWCON,Amendment to a Long Form,3000.0,1-2FAM,Roxbury
1073,A466463,NEWCON,Amendment to a Long Form,166504.0,1-2FAM,Roxbury
1074,A461820,ERECT,Amendment to a Long Form,20000.0,Mixed,Boston
1075,A47611,NEWCON,Amendment to a Long Form,0.0,1-2FAM,Roxbury
1076,A47645,NEWCON,Amendment to a Long Form,0.0,Multi,Roxbury
1077,A497960,ERECT,Amendment to a Long Form,0.0,1-2FAM,South Boston
1078,A63602,NEWCON,Amendment to a Long Form,16500.0,1-3FAM,South Boston
1079,A501321,ERECT,Amendment to a Long Form,1000.0,1-2FAM,South Boston
1080,A523162,ERECT,Amendment to a Long Form,0.0,Multi,Dorchester
1081,A602731,ERECT,Amendment to a Long Form,0.0,Multi,Boston
1082,A66078,NEWCON,Amendment to a Long Form,0.0,Comm,Roxbury
1083,A70188,NEWCON,Amendment to a Long Form,0.0,Comm,Roxbury
1084,A69771,NEWCON,Amendment to a Long Form,0.0,Other,Dorchester
1085,A86374,NEWCON,Amendment to a Long Form,0.0,1-3FAM,East Boston
1086,A86376,NEWCON,Amendment to a Long Form,0.0,1-3FAM,East Boston
1087,A86377,NEWCON,Amendment to a Long Form,0.0,1-3FAM,East Boston
1088,A87175,NEWCON,Amendment to a Long Form,0.0,1-4FAM,South Boston
1089,A89928,NEWCON,Amendment to a Long Form,1000.0,1-2FAM,Roslindale
