,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TOTAL
WARD 1,1113,816,1720,563,960,836,1046,1413,838,582,1296,1315,1627,943,223,0,0,0,0,0,0,0,0,15291
WARD 2,1948,2339,1579,1398,1628,1903,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12081
WARD 3,3487,1546,1528,1616,2646,3479,3726,3805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21833
WARD 4,1966,2655,1310,1943,1550,1354,1701,1578,1048,945,0,0,0,0,0,0,0,0,0,0,0,0,0,16050
WARD 5,3990,2449,1702,2135,655,1843,2133,2026,2893,2380,1173,0,0,0,0,0,0,0,0,0,0,0,0,23379
WARD 6,2533,1171,1430,1552,1413,1362,1389,1422,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13646
WARD 7,1262,1563,1871,1598,1238,1296,943,926,1005,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,12938
WARD 8,911,2045,1131,604,1239,446,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277
WARD 9,1854,1937,2777,1868,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10259
WARD 10,845,1098,1063,1655,1188,1157,1610,1660,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12083
WARD 11,831,1308,1081,1616,1485,1103,1562,1501,978,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,12877
WARD 12,1485,2013,916,985,754,755,2242,733,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10750
WARD 13,1263,539,1580,948,808,1260,1199,1164,1198,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,11559
WARD 14,1980,2171,1166,1346,970,931,1122,953,1133,1182,852,668,938,1058,0,0,0,0,0,0,0,0,0,16470
WARD 15,1331,895,584,1678,1107,736,897,867,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9043
WARD 16,1038,732,1356,1229,1346,1700,1201,1236,1371,1164,1307,1271,0,0,0,0,0,0,0,0,0,0,0,14951
WARD 17,1116,768,1578,1781,744,1227,632,1071,846,1459,519,894,1373,978,0,0,0,0,0,0,0,0,0,14986
WARD 18,1899,1312,1550,1518,1563,1697,1300,2398,1333,1966,1306,1431,854,907,1310,1525,1367,1751,2075,1835,1830,1552,1018,35297
WARD 19,1309,1631,1091,1580,1382,1694,1658,847,817,1544,1154,979,1085,0,0,0,0,0,0,0,0,0,0,16771
WARD 20,1644,1577,1623,1210,1585,1656,996,1101,1247,1828,787,1022,950,964,1714,1725,1809,945,996,1640,0,0,0,27019
WARD 21,1915,1207,1588,1191,1421,1167,1425,1664,1746,1278,1691,1697,2103,916,1278,1682,0,0,0,0,0,0,0,23969
WARD 22,2139,2001,1674,1156,953,984,1477,1394,1392,1664,1079,1100,911,0,0,0,0,0,0,0,0,0,0,17924