CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
MICHAEL F FLAHERTY,98,34,65,62,55,107,144,95,97,251,1008
ALEJANDRA NICOLE STGUILLEN,64,14,40,29,33,50,71,54,59,94,508
MICHELLE WU,104,38,59,68,71,114,112,103,116,223,1008
JULIA MEJIA,101,34,58,62,61,63,77,56,58,78,648
ERIN J MURPHY,25,11,34,9,24,58,109,89,77,231,667
ALTHEA GARRISON,90,28,32,52,48,50,46,30,50,119,545
DAVID HALBERT,33,10,32,18,27,32,38,39,43,74,346
ANNISSA ESSAIBI GEORGE,97,29,61,74,69,150,146,137,113,336,1212
ALL OTHERS,6,3,1,6,0,4,2,2,5,5,34
VOTES CAST,618,201,382,380,388,628,745,605,618,1411,5976
BLANKS,178,55,174,160,156,216,203,199,222,497,2060
BALLOTS CAST,199,64,139,135,136,211,237,201,210,477,2009