WP,Ward,Precinct,,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N),Year
1714,1714,1714,168,98,41,135,187,281,204,167,78,14,1205,695,475,1077,1412,429,821,0,70,3,45,44,1412,397,792,106,0,70,0,17,30,58.14447592,0,4.957507082,0.212464589,3.186968839,3.116147309,7.507082153,30.38243626,N,Y,N,N,2013
1801,1801,1801,169,107,68,136,260,461,254,238,137,20,1681,1143,706,1970,2382,221,1849,20,28,0,174,90,2382,166,1748,358,9,28,0,22,51,77.62384551,0.839630563,1.175482788,0,7.304785894,3.778337531,15.02938707,9.277917716,N,Y,N,N,2013
1802,1802,1802,170,50,34,87,184,369,182,163,77,6,1152,1096,562,1417,1772,46,1598,8,17,1,51,51,1772,22,1544,131,4,16,0,12,43,90.18058691,0.451467269,0.959367946,0.056433409,2.878103837,2.878103837,7.392776524,2.595936795,N,Y,N,N,2013
1803,1803,1803,171,72,40,115,191,433,231,167,128,6,1383,1173,639,1645,2048,98,1776,19,18,2,68,67,2048,51,1727,178,15,17,2,7,51,86.71875,0.927734375,0.87890625,0.09765625,3.3203125,3.271484375,8.69140625,4.78515625,N,Y,N,N,2013
1804,1804,1804,172,55,45,107,153,376,205,142,80,23,1186,1190,594,1605,2024,96,1764,5,9,0,95,55,2024,70,1711,168,5,9,0,21,40,87.1541502,0.247035573,0.444664032,0,4.693675889,2.717391304,8.300395257,4.743083004,N,Y,N,N,2013
1805,1805,1805,173,84,47,112,176,409,230,191,117,13,1379,1485,716,1665,1923,104,1681,24,4,0,56,54,1923,82,1630,147,10,4,0,13,37,87.41549662,1.248049922,0.20800832,0,2.912116485,2.808112324,7.644305772,5.408216329,N,Y,N,N,2013
1806,1806,1806,174,136,90,178,301,527,339,285,146,6,2008,1208,804,1828,1999,171,1672,8,13,0,69,66,1999,110,1632,184,7,13,0,6,47,83.64182091,0.4002001,0.650325163,0,3.451725863,3.301650825,9.204602301,8.554277139,N,Y,N,N,2013
1807,1807,1807,175,115,60,99,199,248,235,197,86,7,1246,1066,578,1406,1688,621,653,18,62,0,277,57,1688,410,584,587,8,59,0,17,23,38.68483412,1.066350711,3.672985782,0,16.40995261,3.376777251,34.77488152,36.78909953,N,Y,N,N,2013
1808,1808,1808,176,223,107,168,314,491,375,379,146,7,2210,1758,992,2545,3041,859,1642,15,58,2,356,109,3041,566,1548,791,5,57,2,16,56,53.99539625,0.493258796,1.907267346,0.06576784,11.70667544,3.584347254,26.01118053,28.24728708,N,Y,N,N,2013
1809,1809,1809,177,190,101,130,239,324,301,263,114,9,1671,1101,693,1444,1606,960,372,7,41,1,160,65,1606,847,345,318,6,40,1,18,31,23.16313823,0.435865504,2.552926526,0.062266501,9.9626401,4.04732254,19.8007472,59.7758406,Y,N,N,N,2013
1810,1810,1810,178,263,148,219,336,431,502,353,166,7,2425,1459,971,2015,2337,1576,371,13,89,0,212,76,2337,1364,351,470,5,87,0,25,35,15.87505349,0.556268721,3.808301241,0,9.071459136,3.25203252,20.11125374,67.4368849,Y,N,N,N,2013
1811,1811,1811,179,118,68,107,166,211,227,154,95,3,1149,883,508,1328,1410,415,707,9,29,0,194,56,1410,298,664,390,4,28,0,7,19,50.14184397,0.638297872,2.056737589,0,13.75886525,3.971631206,27.65957447,29.43262411,N,Y,N,N,2013
1812,1812,1812,180,221,67,152,258,278,303,323,134,0,1736,1084,705,1466,1777,951,600,11,40,1,114,60,1777,803,561,342,8,38,1,3,21,33.76477209,0.619020822,2.250984806,0.05627462,6.415306697,3.376477209,19.24592009,53.51716376,Y,N,N,N,2013
1813,1813,1813,181,63,14,56,122,146,117,135,57,5,715,625,335,905,1147,381,578,3,33,0,116,36,1147,286,546,246,2,33,0,13,21,50.39232781,0.261551874,2.877070619,0,10.11333915,3.138622493,21.44725371,33.21708806,N,Y,N,N,2013
1814,1814,1814,182,89,48,41,111,131,130,155,60,4,769,679,362,946,1284,345,692,5,23,0,169,50,1284,222,647,349,2,20,0,17,27,53.894081,0.3894081,1.791277259,0,13.16199377,3.894080997,27.18068536,26.86915888,N,Y,N,N,2013
1815,1815,1815,183,140,50,115,180,283,221,216,105,5,1315,1017,583,1378,1723,301,1195,6,20,0,151,50,1723,215,1131,330,5,20,0,4,18,69.35577481,0.348229832,1.160766106,0,8.763784098,2.901915264,19.15264074,17.46952989,N,Y,N,N,2013
1816,1816,1816,184,308,141,181,502,321,362,553,143,6,2517,1191,927,1556,1733,1194,380,8,39,5,73,34,1733,1118,355,191,2,38,0,7,22,21.92729371,0.461627236,2.250432776,0.288517023,4.212348529,1.961915753,11.02135026,68.89786497,Y,N,N,N,2013
1817,1817,1817,185,216,91,103,262,226,253,372,96,4,1623,1297,730,1499,1650,689,665,10,44,1,171,70,1650,576,616,374,4,44,1,7,28,40.3030303,0.606060606,2.666666667,0.060606061,10.36363636,4.242424242,22.66666667,41.75757576,Y,N,N,N,2013
1818,1818,1818,186,179,114,135,302,320,279,362,129,9,1829,1503,833,1894,2356,1007,985,6,17,4,253,84,2356,827,913,537,4,17,0,16,42,41.80814941,0.25466893,0.721561969,0.169779287,10.7385399,3.565365025,22.79286927,42.74193548,Y,N,N,N,2013
1819,1819,1819,187,245,98,233,353,369,393,401,131,9,2232,1524,939,2263,2594,1046,1180,8,70,3,199,88,2594,864,1125,467,3,68,0,17,50,45.48959136,0.308404009,2.698535081,0.115651503,7.67154973,3.392444102,18.00308404,40.32382421,N,Y,N,N,2013
1820,1820,1820,188,432,240,220,482,321,369,515,159,4,2742,1542,1071,1989,2279,1486,518,5,42,1,169,58,2279,1417,490,254,4,42,1,38,33,22.72926722,0.219394471,1.842913559,0.043878894,7.415533129,2.544975867,11.14523914,65.20403686,Y,N,N,N,2013
1821,1821,1821,189,91,62,162,193,466,265,240,104,8,1591,1237,707,1858,2119,111,1810,11,2,0,123,62,2119,61,1748,237,7,1,0,20,45,85.41764983,0.519112789,0.094384143,0,5.804624823,2.925908447,11.184521,5.238319962,N,Y,N,N,2013
1822,1822,1822,190,314,110,204,303,332,337,422,117,4,2143,1277,855,1608,1753,1115,385,4,32,2,162,53,1753,945,355,387,1,28,2,10,25,21.96235026,0.228180262,1.825442099,0.114090131,9.241300627,3.023388477,22.07644039,63.60524815,Y,N,N,N,2013
1823,1823,1823,191,76,38,46,120,132,100,108,55,7,682,894,394,1078,1195,255,743,6,11,0,148,32,1195,165,696,305,0,11,0,8,10,62.17573222,0.50209205,0.920502092,0,12.38493724,2.677824268,25.52301255,21.33891213,N,Y,N,N,2013
1901,1901,1901,192,103,65,140,143,369,389,111,162,0,1482,798,570,1362,1990,1588,118,17,69,0,112,86,1990,1438,104,327,4,67,0,10,40,5.929648241,0.854271357,3.467336683,0,5.628140704,4.32160804,16.4321608,79.79899497,Y,N,N,N,2013
1902,1902,1902,193,191,114,218,342,465,570,391,286,6,2583,1237,955,1549,1878,1545,87,7,177,0,15,47,1878,1497,83,82,6,175,0,0,35,4.632587859,0.372736954,9.424920128,0,0.798722045,2.502662407,4.366347178,82.26837061,Y,N,N,N,2013
1903,1903,1903,194,91,57,124,159,339,401,144,217,5,1537,703,560,1080,1308,1121,61,4,65,3,19,35,1308,1080,59,66,0,64,3,6,30,4.663608563,0.305810398,4.96941896,0.229357798,1.452599388,2.675840979,5.04587156,85.70336391,Y,N,N,N,2013
1904,1904,1904,195,121,60,179,174,483,498,161,211,6,1893,1127,755,1546,1234,1038,61,3,41,0,48,43,1234,980,57,114,2,41,0,5,35,4.943273906,0.243111831,3.322528363,0,3.889789303,3.484602917,9.238249595,84.11669368,Y,N,N,N,2013
1905,1905,1905,196,86,83,145,212,395,449,168,194,2,1734,906,660,1344,1582,1239,158,8,70,0,71,36,1582,1125,143,209,5,70,0,8,22,9.987357775,0.505689001,4.424778761,0,4.487989886,2.275600506,13.21112516,78.31858407,Y,N,N,N,2013
1906,1906,1906,197,164,90,277,214,579,616,189,277,7,2413,1191,901,1722,1665,1390,123,8,69,0,33,42,1665,1319,110,125,6,69,0,6,30,7.387387387,0.48048048,4.144144144,0,1.981981982,2.522522523,7.507507508,83.48348348,Y,N,N,N,2013
1907,1907,1907,198,151,91,205,218,456,509,205,267,14,2116,1012,782,1738,1717,1105,211,8,136,0,184,73,1717,941,198,388,2,136,0,11,41,12.28887595,0.465928946,7.920792079,0,10.71636575,4.251601631,22.59755387,64.35643564,Y,N,N,N,2013
1908,1908,1908,199,52,41,145,118,311,336,110,157,1,1271,585,464,851,843,754,27,1,28,0,12,21,843,728,27,38,1,28,0,4,17,3.202846975,0.118623962,3.321470937,0,1.423487544,2.491103203,4.507710558,89.44246738,Y,N,N,N,2013
1909,1909,1909,200,61,48,138,101,268,291,95,149,10,1161,511,418,840,844,707,40,1,66,0,11,19,844,661,39,60,0,66,0,3,15,4.739336493,0.118483412,7.819905213,0,1.303317536,2.251184834,7.109004739,83.76777251,Y,N,N,N,2013
1910,1910,1910,201,195,103,171,283,392,406,264,163,10,1987,1217,801,1626,1817,1097,474,6,36,3,142,59,1817,928,425,394,4,35,3,6,22,26.08695652,0.33021464,1.981287837,0.16510732,7.815079802,3.247110622,21.68409466,60.37424326,Y,N,N,N,2013
1911,1911,1911,202,80,39,57,122,153,173,105,80,6,815,893,427,1349,1386,469,390,7,73,0,364,83,1386,232,342,694,2,73,0,7,36,28.13852814,0.505050505,5.266955267,0,26.26262626,5.988455988,50.07215007,33.83838384,N,N,Y,N,2013
1912,1912,1912,203,129,68,142,218,286,333,187,163,3,1529,739,567,1073,1133,750,237,7,19,1,74,45,1133,656,220,212,5,18,1,1,20,20.91791703,0.617828773,1.676963813,0.088261253,6.531332745,3.971756399,18.7113857,66.19593998,Y,N,N,N,2013
1913,1913,1913,204,120,45,97,154,214,238,146,106,5,1125,731,464,1114,1850,792,581,10,42,5,321,99,1850,516,516,732,2,42,4,9,29,31.40540541,0.540540541,2.27027027,0.27027027,17.35135135,5.351351351,39.56756757,42.81081081,Y,N,N,N,2013
2001,2001,2001,205,316,100,172,269,308,453,275,170,3,2066,1054,780,1465,1872,1672,79,4,55,0,44,18,1872,1603,71,115,1,54,0,13,15,4.22008547,0.213675214,2.938034188,0,2.35042735,0.961538462,6.143162393,89.31623932,Y,N,N,N,2013
2002,2002,2002,206,287,101,236,266,379,454,260,163,1,2147,1105,813,1708,1786,1285,248,9,67,0,120,57,1786,1129,218,333,3,66,0,7,30,13.88577828,0.503919373,3.751399776,0,6.718924972,3.191489362,18.6450168,71.94848824,Y,N,N,N,2013
2003,2003,2003,207,328,101,188,297,238,249,271,117,7,1796,1364,790,1751,1967,1118,543,4,121,0,133,48,1967,1001,508,298,4,121,0,7,28,27.60549059,0.203355363,6.151499746,0,6.761565836,2.440264362,15.14997458,56.8378241,Y,N,N,N,2013
2004,2004,2004,208,210,75,196,202,365,507,197,166,8,1926,866,698,1245,1132,972,74,0,21,0,42,23,1132,941,69,85,0,21,0,3,13,6.537102473,0,1.855123675,0,3.71024735,2.03180212,7.508833922,85.86572438,Y,N,N,N,2013
2005,2005,2005,209,489,157,203,421,242,282,428,132,10,2364,1268,908,1626,2961,2444,180,6,183,1,106,41,2961,2324,161,245,4,183,1,10,33,6.079027356,0.202634245,6.180344478,0.033772374,3.579871665,1.384667342,8.274231678,82.53968254,Y,N,N,N,2013
2006,2006,2006,210,404,206,293,458,389,437,404,226,0,2817,1223,1010,1668,1978,1797,67,8,64,1,17,24,1978,1735,67,82,7,63,1,3,20,3.387259858,0.404448938,3.235591507,0.050556117,0.859453994,1.213346815,4.145601618,90.84934277,Y,N,N,N,2013
2007,2007,2007,211,255,102,212,247,202,245,256,104,7,1630,742,593,993,1072,977,41,4,28,0,13,9,1072,933,37,62,4,28,0,2,6,3.824626866,0.373134328,2.611940299,0,1.212686567,0.839552239,5.78358209,91.1380597,Y,N,N,N,2013
2008,2008,2008,212,184,77,175,230,251,305,221,125,4,1572,796,592,1124,1391,1117,113,8,45,0,70,38,1391,1056,102,162,1,45,0,2,23,8.123652049,0.575125809,3.235082674,0,5.032350827,2.731847592,11.64629763,80.30194105,Y,N,N,N,2013
2009,2009,2009,213,216,81,167,218,263,306,263,111,10,1635,917,638,1256,1481,1136,188,1,14,0,109,33,1481,1027,176,243,0,14,0,7,14,12.69412559,0.067521945,0.945307225,0,7.359891965,2.228224173,16.40783255,76.7049291,Y,N,N,N,2013
2010,2010,2010,214,618,167,333,484,322,401,435,151,2,2913,1315,1057,1849,1488,1248,71,0,95,1,53,20,1488,1191,60,122,0,94,1,8,12,4.771505376,0,6.384408602,0.067204301,3.561827957,1.344086022,8.198924731,83.87096774,Y,N,N,N,2013
2011,2011,2011,215,181,73,112,191,203,249,186,110,0,1305,631,484,774,816,732,22,0,40,1,7,14,816,708,18,35,0,40,1,1,13,2.696078431,0,4.901960784,0.12254902,0.857843137,1.715686275,4.289215686,89.70588235,Y,N,N,N,2013
2012,2012,2012,216,359,121,187,307,229,297,286,104,20,1910,842,688,1022,1044,989,15,0,30,0,5,5,1044,974,14,23,0,30,0,0,3,1.436781609,0,2.873563218,0,0.478927203,0.478927203,2.203065134,94.73180077,Y,N,N,N,2013
2013,2013,2013,217,327,93,166,266,202,243,244,121,8,1670,790,615,948,952,858,19,0,56,1,12,6,952,842,19,29,0,56,1,3,2,1.995798319,0,5.882352941,0.105042017,1.260504202,0.630252101,3.046218487,90.12605042,Y,N,N,N,2013
2014,2014,2014,218,421,90,208,286,203,302,253,113,1,1877,723,650,958,915,845,18,1,36,0,6,9,915,828,13,28,1,36,0,1,8,1.967213115,0.109289617,3.93442623,0,0.655737705,0.983606557,3.06010929,92.34972678,Y,N,N,N,2013
2015,2015,2015,219,419,143,219,403,248,311,401,136,8,2288,1420,927,1875,2041,1593,160,7,186,0,69,26,2041,1525,140,154,4,185,0,8,25,7.839294463,0.342969133,9.113179814,0,3.380695737,1.27388535,7.545320921,78.0499755,Y,N,N,N,2013
2016,2016,2016,220,507,209,253,500,304,350,481,156,6,2766,1430,1049,1805,2031,1704,87,2,164,2,45,27,2031,1640,79,126,0,164,1,8,13,4.283604136,0.098473658,8.07483998,0.098473658,2.215657312,1.329394387,6.203840473,83.89955687,Y,N,N,N,2013
2017,2017,2017,221,500,196,271,527,357,466,516,222,13,3068,1564,1158,1881,1926,1763,55,1,84,0,6,17,1926,1708,52,70,0,84,0,0,12,2.855659398,0.05192108,4.361370717,0,0.31152648,0.882658359,3.634475597,91.53686397,Y,N,N,N,2013
2018,2018,2018,222,234,91,147,239,200,290,245,106,2,1554,714,567,969,1041,908,48,7,59,0,8,11,1041,880,45,45,2,59,0,5,5,4.610951009,0.672430355,5.667627281,0,0.768491835,1.056676273,4.322766571,87.22382325,Y,N,N,N,2013
2019,2019,2019,223,259,140,196,277,196,287,287,116,4,1762,802,641,973,1038,961,11,0,56,0,4,6,1038,927,10,41,0,56,0,2,2,1.05973025,0,5.394990366,0,0.385356455,0.578034682,3.949903661,92.58188825,Y,N,N,N,2013
2020,2020,2020,224,338,167,244,368,271,413,308,181,7,2297,1023,830,1682,2367,1882,102,1,283,0,50,49,2367,1796,97,135,1,283,0,15,40,4.309252218,0.042247571,11.95606253,0,2.112378538,2.070130967,5.703422053,79.50992818,Y,N,N,N,2013
2101,2101,2101,225,30,23,50,97,144,148,93,101,7,693,475,292,1758,3936,2804,140,8,776,5,78,125,3936,2608,132,298,7,773,3,14,101,3.556910569,0.203252033,19.71544715,0.12703252,1.981707317,3.175813008,7.571138211,71.2398374,Y,N,N,N,2013
2102,2102,2102,226,6,7,10,12,25,31,13,19,0,123,109,58,1357,6796,4675,223,3,1512,0,115,268,6796,4319,204,525,2,1500,0,20,226,3.281341966,0.044143614,22.2483814,0,1.692171866,3.943496174,7.725132431,68.79046498,Y,N,N,N,2013
2103,2103,2103,227,23,16,40,36,56,66,37,32,1,307,245,138,1308,3700,2379,137,6,956,1,101,120,3700,2212,127,256,5,946,1,46,107,3.702702703,0.162162162,25.83783784,0.027027027,2.72972973,3.243243243,6.918918919,64.2972973,Y,N,N,N,2013
2104,2104,2104,228,14,21,31,35,52,71,27,33,5,289,211,125,1038,2966,1914,77,2,596,1,240,136,2966,1775,76,326,1,594,1,101,92,2.596089009,0.067430883,20.09440324,0.033715442,8.091706001,4.585300067,10.99123399,64.53135536,Y,N,N,N,2013
2105,2105,2105,229,36,36,45,74,101,125,51,46,8,522,290,203,1464,2668,1915,106,2,511,3,64,67,2668,1792,98,184,0,507,2,29,56,3.973013493,0.074962519,19.15292354,0.112443778,2.3988006,2.511244378,6.896551724,71.77661169,Y,N,N,N,2013
2106,2106,2106,230,66,62,90,162,137,170,115,60,3,865,371,309,1101,2860,2162,94,5,405,3,108,83,2860,2024,89,216,2,404,3,51,71,3.286713287,0.174825175,14.16083916,0.104895105,3.776223776,2.902097902,7.552447552,75.59440559,Y,N,N,N,2013
2107,2107,2107,231,54,51,73,106,127,161,90,67,2,731,325,264,1466,1555,1017,152,5,207,3,107,64,1555,858,131,290,2,206,3,16,49,9.774919614,0.321543408,13.31189711,0.192926045,6.881028939,4.115755627,18.64951768,65.40192926,Y,N,N,N,2013
2108,2108,2108,232,29,35,54,64,116,118,62,59,9,546,418,241,1692,2811,2080,124,6,433,1,104,63,2811,1981,118,196,2,432,1,31,50,4.411241551,0.213447172,15.4037709,0.035574529,3.699750978,2.241195304,6.972607613,73.99501957,Y,N,N,N,2013
2109,2109,2109,233,47,40,51,130,152,148,115,60,2,745,535,320,1850,2881,1824,255,11,555,1,140,95,2881,1691,230,304,4,553,1,24,74,8.85109337,0.381811871,19.26414439,0.03471017,4.859423811,3.297466158,10.5518917,63.31135023,Y,N,N,N,2013
2110,2110,2110,234,52,57,49,125,107,145,103,74,1,713,467,295,1335,2112,1504,152,2,313,1,74,66,2112,1399,134,214,1,311,1,7,45,7.196969697,0.09469697,14.82007576,0.047348485,3.503787879,3.125,10.13257576,71.21212121,Y,N,N,N,2013
2111,2111,2111,235,48,51,69,135,128,190,108,67,3,799,545,336,1684,2664,1982,82,4,465,0,67,64,2664,1890,76,161,2,465,0,18,52,3.078078078,0.15015015,17.45495495,0,2.515015015,2.402402402,6.043543544,74.3993994,Y,N,N,N,2013
2112,2112,2112,236,37,47,62,203,208,230,179,65,4,1035,661,424,1602,2414,2051,85,2,198,2,36,40,2414,1972,76,126,1,196,2,8,33,3.521126761,0.082850041,8.202154101,0.082850041,1.491300746,1.657000829,5.21955261,84.96271748,Y,N,N,N,2013
2113,2113,2113,237,75,67,94,405,414,469,373,98,3,1998,950,737,2067,2772,2133,52,1,502,1,39,44,2772,2088,48,76,0,502,1,17,40,1.875901876,0.036075036,18.10966811,0.036075036,1.406926407,1.587301587,2.741702742,76.94805195,Y,N,N,N,2013
2114,2114,2114,238,27,27,45,64,71,92,48,46,3,423,249,168,927,1528,1253,44,2,175,0,20,34,1528,1197,42,83,2,175,0,2,27,2.879581152,0.130890052,11.45287958,0,1.308900524,2.22513089,5.431937173,82.0026178,Y,N,N,N,2013
2115,2115,2115,239,22,27,52,77,116,114,79,57,2,546,322,217,1196,1905,1545,54,6,236,2,32,30,1905,1488,53,87,4,235,2,11,25,2.834645669,0.31496063,12.38845144,0.104986877,1.679790026,1.57480315,4.566929134,81.1023622,Y,N,N,N,2013
2116,2116,2116,240,59,67,124,185,253,241,155,128,5,1217,651,467,1637,5369,4299,265,4,567,0,88,146,5369,4024,248,393,4,564,0,11,125,4.935742224,0.074501769,10.56062581,0,1.639038927,2.719314584,7.319798845,80.07077668,Y,N,N,N,2013
2201,2201,2201,241,63,75,84,187,155,234,185,99,8,1090,722,453,1880,5112,3220,357,17,1026,1,278,213,5112,2804,315,712,8,1022,1,68,182,6.983568075,0.332550861,20.07042254,0.019561815,5.438184664,4.166666667,13.92801252,62.98904538,Y,N,N,N,2013
2202,2202,2202,242,79,98,102,193,183,259,187,107,8,1216,892,527,2008,2937,1933,163,8,404,2,315,112,2937,1738,146,480,3,401,2,98,69,5.549880831,0.272386789,13.75553286,0.068096697,10.72522983,3.813415049,16.34320735,65.81545795,Y,N,N,N,2013
2203,2203,2203,243,74,87,82,202,166,221,213,86,0,1131,757,472,1615,2369,1875,78,3,306,0,73,34,2369,1787,70,157,3,305,0,21,26,3.292528493,0.126635711,12.91684255,0,3.081468974,1.435204728,6.62726889,79.14731954,Y,N,N,N,2013
2204,2204,2204,244,65,66,90,172,162,201,165,91,9,1021,583,401,1100,1406,1133,57,0,154,0,42,20,1406,1085,55,87,0,151,0,10,18,4.054054054,0,10.95305832,0,2.987197724,1.422475107,6.187766714,80.58321479,Y,N,N,N,2013
2205,2205,2205,245,27,35,34,112,91,121,123,35,9,587,489,269,948,1642,1010,116,3,185,0,251,77,1642,894,99,270,1,184,0,136,58,7.06455542,0.182704019,11.26674787,0,15.2862363,4.689403167,16.44336175,61.51035323,Y,N,N,N,2013
2206,2206,2206,246,38,37,45,112,89,94,107,45,5,572,416,247,972,1585,1157,41,1,221,0,117,48,1585,1066,32,169,1,221,0,58,38,2.586750789,0.063091483,13.94321767,0,7.38170347,3.028391167,10.66246057,72.99684543,Y,N,N,N,2013
2207,2207,2207,247,70,72,110,182,178,211,187,90,2,1102,726,457,1422,2079,1628,118,4,160,1,121,47,2079,1552,109,164,3,159,1,52,39,5.675805676,0.192400192,7.696007696,0.048100048,5.82010582,2.260702261,7.888407888,78.30687831,Y,N,N,N,2013
2208,2208,2208,248,59,57,84,170,163,205,152,96,3,989,643,408,1279,2065,1583,61,1,357,0,26,37,2065,1505,58,108,1,354,0,8,31,2.953995157,0.04842615,17.28813559,0,1.259079903,1.791767554,5.230024213,76.65859564,Y,N,N,N,2013
2209,2209,2209,249,47,48,64,121,140,183,121,73,1,798,566,341,1283,2018,1564,40,0,319,2,33,60,2018,1498,37,99,0,319,2,11,52,1.982160555,0,15.80773043,0.099108028,1.635282458,2.973240833,4.905847374,77.5024777,Y,N,N,N,2013
2210,2210,2210,250,88,111,117,232,223,280,245,116,8,1420,756,544,1532,2442,1984,90,1,250,0,73,44,2442,1842,81,207,1,248,0,34,29,3.685503686,0.040950041,10.23751024,0,2.989352989,1.801801802,8.476658477,81.24488124,Y,N,N,N,2013
2211,2211,2211,251,70,67,86,165,118,152,157,67,1,883,561,361,1065,1315,1019,66,5,155,0,29,41,1315,949,64,109,1,152,0,12,28,5.019011407,0.380228137,11.78707224,0,2.205323194,3.117870722,8.288973384,77.4904943,Y,N,N,N,2013
2212,2212,2212,252,63,77,63,181,117,136,179,68,11,895,585,370,1144,1646,1007,164,8,242,1,158,66,1646,903,138,299,5,242,0,29,30,9.963547995,0.486026731,14.70230863,0.060753341,9.599027947,4.009720535,18.16524909,61.17861482,Y,N,N,N,2013
2213,2213,,253,58,64,70,135,118,129,161,46,0,781,479,315,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,