,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
0,0102,2042.0,941.0,1099.0
1,0105,3190.0,1148.0,2042.0
2,0203,1353.0,1258.0,95.0
3,0205,1442.0,1344.0,98.0
4,0204,1682.0,1523.0,160.0
5,0206,1295.0,1221.0,75.0
6,0303,2707.0,2675.0,32.0
7,0304,1830.0,1746.0,85.0
8,0307,4243.0,3367.0,876.0
9,0402,4460.0,4069.0,390.0
10,0401,1981.0,1780.0,203.0
11,0403,1484.0,1328.0,157.0
12,0405,2709.0,2503.0,205.0
13,0406,2833.0,2604.0,229.0
14,0404,2148.0,1958.0,190.0
15,0408,7211.0,6886.0,325.0
16,0409,4436.0,3898.0,538.0
17,0504,2223.0,2114.0,109.0
18,0503,2560.0,2545.0,15.0
19,0501,6029.0,5804.0,224.0
20,0902,2829.0,2255.0,574.0
21,0901,2922.0,2385.0,537.0
22,0502,3452.0,3125.0,327.0
23,0603,1204.0,1190.0,14.0
24,0605,1746.0,1707.0,40.0
25,0606,1480.0,1463.0,17.0
26,0602,2148.0,1690.0,458.0
27,0608,1446.0,1438.0,7.0
28,0702,1604.0,1580.0,25.0
29,0706,1479.0,1155.0,324.0
30,0805,1471.0,1228.0,241.0
31,0803,2285.0,1636.0,649.0
32,1201,2560.0,1977.0,584.0
33,0905,3321.0,2646.0,675.0
34,1002,1920.0,1636.0,283.0
35,1001,878.0,664.0,214.0
36,0904,3137.0,2153.0,985.0
37,0903,4513.0,3304.0,1210.0
38,0804,1114.0,713.0,400.0
39,0806,1956.0,1625.0,330.0
40,0709,1366.0,1237.0,131.0
41,0710,2061.0,1734.0,328.0
42,0807,809.0,650.0,159.0
43,1006,2510.0,1720.0,788.0
44,1003,2186.0,1965.0,221.0
45,1101,1873.0,1341.0,533.0
46,1007,2239.0,1287.0,953.0
47,1209,1745.0,1294.0,451.0
48,1103,1428.0,1049.0,381.0
49,1105,1813.0,1089.0,724.0
50,1106,1810.0,1265.0,544.0
51,1107,2259.0,1677.0,582.0
52,1104,3190.0,1777.0,1414.0
53,1206,1378.0,1073.0,305.0
54,1204,1642.0,1221.0,420.0
55,1205,900.0,733.0,167.0
56,1301,2114.0,1451.0,663.0
57,1306,1838.0,1531.0,307.0
58,1308,1837.0,1715.0,121.0
59,1304,1709.0,1161.0,548.0
60,1302,930.0,634.0,296.0
61,1307,1279.0,1187.0,92.0
62,1309,2130.0,1877.0,251.0
63,1305,1466.0,1121.0,344.0
64,1401,4346.0,3092.0,1253.0
65,1406,1867.0,1522.0,345.0
66,1404,2560.0,1966.0,594.0
67,1403,2211.0,1718.0,493.0
68,1503,1206.0,989.0,217.0
69,1501,2628.0,2029.0,598.0
70,1502,1502.0,1146.0,357.0
71,1504,3272.0,2699.0,573.0
72,1505,2139.0,1581.0,557.0
73,1507,1527.0,1102.0,425.0
74,1508,1603.0,1281.0,322.0
75,1506,1403.0,1281.0,122.0
76,1509,2295.0,1802.0,493.0
77,1009,2341.0,1669.0,671.0
78,1908,894.0,866.0,27.0
79,1906,1999.0,1771.0,228.0
80,1901,1658.0,1361.0,296.0
81,2104,1946.0,1554.0,391.0
82,2105,3248.0,2839.0,409.0
83,2107,2315.0,2056.0,259.0
84,2108,2749.0,2599.0,151.0
85,2106,1968.0,1759.0,206.0
86,2110,1707.0,1591.0,116.0
87,2115,925.0,850.0,73.0
88,2202,3007.0,2433.0,573.0
89,2203,2836.0,2480.0,355.0
90,2207,1840.0,1644.0,196.0
91,2213,1200.0,1137.0,64.0
92,2204,1527.0,1465.0,63.0
93,2210,2259.0,1959.0,300.0
94,1108,2926.0,2108.0,816.0
95,0705,2757.0,2463.0,294.0
96,2209,1524.0,1465.0,59.0
97,2111,2515.0,2317.0,196.0
98,2113,3117.0,2878.0,239.0
99,2206,1139.0,1050.0,87.0
100,2109,4089.0,3722.0,368.0
101,2101,3158.0,2868.0,289.0
102,1005,2989.0,2618.0,370.0
103,0704,2030.0,1719.0,312.0
104,0708,2527.0,2275.0,252.0
105,1203,1178.0,964.0,214.0
106,1202,2734.0,2122.0,613.0
107,1102,2148.0,1443.0,706.0
108,1904,1924.0,1458.0,465.0
109,1905,1349.0,1215.0,133.0
110,1903,1615.0,1409.0,205.0
111,1402,4345.0,3245.0,1100.0
112,1407,2117.0,1442.0,676.0
113,1409,2004.0,1359.0,645.0
114,1413,1462.0,1175.0,287.0
115,1412,1007.0,695.0,312.0
116,1410,2888.0,1869.0,1019.0
117,1405,1677.0,1467.0,209.0
118,1414,2241.0,1945.0,296.0
119,1601,1503.0,1325.0,178.0
120,1701,2039.0,1658.0,380.0
121,1702,1509.0,1152.0,357.0
122,1607,2278.0,2155.0,123.0
123,1605,1786.0,1697.0,87.0
124,1603,1475.0,1218.0,256.0
125,1609,1151.0,1128.0,22.0
126,1706,1456.0,1185.0,272.0
127,1709,1430.0,1213.0,217.0
128,1711,754.0,685.0,69.0
129,1604,1322.0,1253.0,69.0
130,1606,1787.0,1680.0,107.0
131,1608,1096.0,1009.0,88.0
132,1611,2556.0,2364.0,191.0
133,1705,1305.0,1095.0,210.0
134,1708,1994.0,1683.0,311.0
135,1707,1391.0,1182.0,209.0
136,1710,2203.0,1910.0,294.0
137,1712,1203.0,1072.0,130.0
138,1704,3011.0,2748.0,264.0
139,1802,2550.0,2305.0,246.0
140,1821,3125.0,2892.0,232.0
141,1807,2793.0,2054.0,741.0
142,1808,4524.0,3738.0,786.0
143,1809,2403.0,1860.0,542.0
144,1810,2766.0,2179.0,589.0
145,1811,2214.0,1616.0,597.0
146,1813,1334.0,1083.0,251.0
147,1814,1342.0,963.0,378.0
148,1822,2569.0,1765.0,805.0
149,1805,1848.0,1536.0,310.0
150,1806,2088.0,1738.0,351.0
151,1815,2185.0,1778.0,406.0
152,1819,3447.0,2461.0,987.0
153,1911,1654.0,1146.0,508.0
154,1913,1760.0,1205.0,554.0
155,1912,1250.0,815.0,436.0
156,2004,1769.0,1614.0,154.0
157,2009,2216.0,1863.0,352.0
158,2007,1461.0,1332.0,129.0
159,2019,888.0,833.0,55.0
160,2006,2288.0,2215.0,73.0
161,2020,1489.0,1386.0,103.0
162,2013,857.0,788.0,69.0
163,2016,1880.0,1695.0,185.0
164,2010,2477.0,2088.0,388.0
165,2005,3525.0,3050.0,473.0
166,1703,2747.0,2276.0,472.0
167,1110,1191.0,936.0,255.0
168,1109,1040.0,860.0,179.0
169,1902,2227.0,2151.0,77.0
170,2017,3855.0,3599.0,256.0
171,2015,2127.0,1726.0,400.0
172,1910,2824.0,2068.0,756.0
173,1801,3656.0,3314.0,342.0
174,1714,1597.0,1482.0,114.0
175,1804,2655.0,2424.0,231.0
176,2012,1600.0,1468.0,133.0
177,2014,1437.0,1244.0,192.0
178,1820,3072.0,2366.0,706.0
179,2018,1317.0,1207.0,110.0
180,2001,1897.0,1734.0,163.0
181,1207,4250.0,3061.0,1185.0
182,1411,2022.0,1323.0,700.0
183,1907,3862.0,2600.0,1262.0
184,1803,3152.0,2893.0,260.0
185,1408,1626.0,1410.0,216.0
186,1909,943.0,825.0,118.0
187,1208,1071.0,856.0,214.0
188,0207,1567.0,1500.0,67.0
189,0202,3138.0,2703.0,436.0
190,0306,6608.0,6181.0,429.0
191,0302,1976.0,1917.0,60.0
192,2103,3172.0,2865.0,305.0
193,2114,1111.0,1045.0,67.0
194,2201,7387.0,6243.0,1144.0
195,2205,1402.0,1213.0,187.0
196,2212,2351.0,1883.0,468.0
197,2211,2101.0,1856.0,246.0
198,2208,3052.0,2938.0,113.0
199,2116,4617.0,4244.0,373.0
200,2112,2213.0,2086.0,128.0
201,0510,5903.0,5600.0,301.0
202,2102,4234.0,3955.0,281.0
203,1310,2507.0,2237.0,270.0
204,1303,2643.0,2052.0,591.0
205,1610,1327.0,1291.0,36.0
206,1713,2559.0,2358.0,201.0
207,1612,2299.0,2255.0,43.0
208,1602,3920.0,3743.0,177.0
209,0604,1795.0,1759.0,36.0
210,0607,1942.0,1905.0,36.0
211,0701,1894.0,1880.0,14.0
212,0609,1832.0,1826.0,6.0
213,0707,2375.0,1666.0,710.0
214,0703,2425.0,2384.0,41.0
215,0308,7305.0,6935.0,367.0
216,0801,2592.0,2037.0,554.0
217,0601,3985.0,3441.0,544.0
218,0305,4060.0,3851.0,209.0
219,0201,3405.0,3290.0,114.0
220,0108,2730.0,938.0,1792.0
221,0103,3133.0,1679.0,1456.0
222,0106,3160.0,1158.0,2002.0
223,0109,1602.0,571.0,1033.0
224,0107,3089.0,1116.0,1973.0
225,0101,960.0,573.0,387.0
226,0114,1426.0,755.0,672.0
227,0112,2417.0,1255.0,1162.0
228,0511,2049.0,1987.0,62.0
229,0505,1020.0,1015.0,5.0
230,0110,2297.0,825.0,1472.0
231,0111,1648.0,1166.0,482.0
232,1004,1638.0,1275.0,364.0
233,0802,4495.0,3731.0,764.0
234,2011,1021.0,885.0,136.0
235,2008,1719.0,1474.0,244.0
236,0410,6260.0,5566.0,694.0
237,0407,3002.0,2825.0,176.0
238,1008,3005.0,2559.0,448.0
239,0301,1602.0,1514.0,88.0
240,0507,2430.0,2295.0,135.0
241,0508,2705.0,2570.0,136.0
242,0506,2450.0,2317.0,132.0
243,0509,4194.0,4024.0,171.0
244,1812,2219.0,1560.0,658.0
245,1823,1459.0,1135.0,324.0
246,2003,3486.0,2712.0,775.0
247,1816,3124.0,2660.0,464.0
248,1817,2227.0,1895.0,332.0
249,1818,3023.0,2466.0,557.0
250,0502A,1440.0,1282.0,158.0
251,0115,99.0,70.0,30.0
252,0104,1723.0,777.0,944.0
253,2002,2205.0,1853.0,353.0
