,WARD_PRECI,Total,18-44,44+
0,101,960.0,0.611,0.325
1,102,2042.0,0.643,0.362
2,103,3133.0,0.596,0.371
3,104,1723.0,0.616,0.302
4,105,3190.0,0.605,0.382
5,106,3160.0,0.591,0.363
6,107,3089.0,0.609,0.343
7,108,2730.0,0.647,0.33
8,109,1602.0,0.579,0.397
9,110,2297.0,0.586,0.378
10,111,1648.0,0.707,0.253
11,112,2417.0,0.633,0.314
12,114,1426.0,0.638,0.311
13,115,99.0,0.626,0.323
14,201,3405.0,0.666,0.282
15,202,3138.0,0.68,0.286
16,203,1353.0,0.639,0.288
17,204,1682.0,0.639,0.269
18,205,1442.0,0.633,0.254
19,206,1295.0,0.654,0.259
20,207,1567.0,0.629,0.28
21,301,1602.0,0.712,0.209
22,302,1976.0,0.783,0.178
23,303,2707.0,0.82,0.18
24,304,1830.0,0.799,0.178
25,305,4060.0,0.714,0.209
26,306,6608.0,0.708,0.236
27,307,4243.0,0.586,0.341
28,308,7305.0,0.755,0.274
29,401,1981.0,0.613,0.31
30,402,4460.0,0.725,0.224
31,403,1484.0,0.65,0.289
32,404,2148.0,0.655,0.269
33,405,2709.0,0.815,0.207
34,406,2833.0,0.828,0.156
35,407,3002.0,0.9,0.213
36,408,7211.0,0.936,0.255
37,409,4436.0,0.899,0.281
38,410,6260.0,0.9,0.307
39,501,6029.0,0.691,0.287
40,502,1440.0,0.8,0.228
41,502,3452.0,0.823,0.204
42,503,2560.0,0.673,0.275
43,504,2223.0,0.76,0.236
44,505,1020.0,0.658,0.306
45,506,2450.0,0.681,0.212
46,507,2430.0,0.678,0.211
47,508,2705.0,0.716,0.239
48,509,4194.0,0.786,0.214
49,510,5903.0,0.914,0.243
50,511,2049.0,0.717,0.266
51,601,3985.0,0.682,0.323
52,602,2148.0,0.732,0.291
53,603,1204.0,0.724,0.235
54,604,1795.0,0.734,0.232
55,605,1746.0,0.74,0.227
56,606,1480.0,0.741,0.208
57,607,1942.0,0.715,0.25
58,608,1446.0,0.618,0.307
59,609,1832.0,0.648,0.311
60,701,1894.0,0.641,0.285
61,702,1604.0,0.729,0.224
62,703,2425.0,0.724,0.231
63,704,2030.0,0.681,0.256
64,705,2757.0,0.679,0.267
65,706,1479.0,0.645,0.281
66,707,2375.0,0.69,0.314
67,708,2527.0,0.632,0.28
68,709,1366.0,0.627,0.28
69,710,2061.0,0.628,0.28
70,801,2592.0,0.584,0.346
71,802,4495.0,0.621,0.355
72,803,2285.0,0.716,0.283
73,804,1114.0,0.752,0.246
74,805,1471.0,0.655,0.307
75,806,1956.0,0.632,0.344
76,807,809.0,0.68,0.318
77,901,2922.0,0.596,0.333
78,902,2829.0,0.641,0.326
79,903,4513.0,0.654,0.264
80,904,3137.0,0.753,0.249
81,905,3321.0,0.736,0.253
82,1001,878.0,0.839,0.213
83,1002,1920.0,0.87,0.186
84,1003,2186.0,0.87,0.183
85,1004,1638.0,0.79,0.241
86,1005,2989.0,0.801,0.192
87,1006,2510.0,0.749,0.257
88,1007,2239.0,0.716,0.259
89,1008,3005.0,0.756,0.209
90,1009,2341.0,0.704,0.241
91,1101,1873.0,0.675,0.237
92,1102,2148.0,0.661,0.287
93,1103,1428.0,0.667,0.296
94,1104,3190.0,0.649,0.295
95,1105,1813.0,0.64,0.314
96,1106,1810.0,0.62,0.356
97,1107,2259.0,0.6,0.324
98,1108,2926.0,0.624,0.311
99,1109,1040.0,0.644,0.275
100,1110,1191.0,0.626,0.277
101,1201,2560.0,0.686,0.306
102,1202,2734.0,0.686,0.181
103,1203,1178.0,0.626,0.323
104,1204,1642.0,0.689,0.329
105,1205,900.0,0.648,0.296
106,1206,1378.0,0.685,0.227
107,1207,4250.0,0.675,0.236
108,1208,1071.0,0.725,0.199
109,1209,1745.0,0.689,0.201
110,1301,2114.0,0.712,0.312
111,1302,930.0,0.716,0.319
112,1303,2643.0,0.78,0.264
113,1304,1709.0,0.681,0.327
114,1305,1466.0,0.632,0.314
115,1306,1838.0,0.624,0.294
116,1307,1279.0,0.618,0.339
117,1308,1837.0,0.615,0.367
118,1309,2130.0,0.622,0.334
119,1310,2507.0,0.69,0.282
120,1401,4346.0,0.653,0.269
121,1402,4345.0,0.655,0.32
122,1403,2211.0,0.678,0.305
123,1404,2560.0,0.672,0.339
124,1405,1677.0,0.702,0.286
125,1406,1867.0,0.676,0.318
126,1407,2117.0,0.629,0.297
127,1408,1626.0,0.655,0.327
128,1409,2004.0,0.629,0.295
129,1410,2888.0,0.646,0.283
130,1411,2022.0,0.647,0.282
131,1412,1007.0,0.648,0.306
132,1413,1462.0,0.657,0.363
133,1414,2241.0,0.682,0.313
134,1501,2628.0,0.662,0.315
135,1502,1502.0,0.697,0.355
136,1503,1206.0,0.673,0.357
137,1504,3272.0,0.643,0.315
138,1505,2139.0,0.672,0.335
139,1506,1403.0,0.65,0.324
140,1507,1527.0,0.689,0.396
141,1508,1603.0,0.658,0.305
142,1509,2295.0,0.665,0.379
143,1601,1503.0,0.644,0.307
144,1602,3920.0,0.652,0.312
145,1603,1475.0,0.649,0.317
146,1604,1322.0,0.633,0.305
147,1605,1786.0,0.642,0.309
148,1606,1787.0,0.627,0.295
149,1607,2278.0,0.621,0.301
150,1608,1096.0,0.652,0.273
151,1609,1151.0,0.631,0.281
152,1610,1327.0,0.631,0.325
153,1611,2556.0,0.65,0.273
154,1612,2299.0,0.631,0.281
155,1701,2039.0,0.671,0.305
156,1702,1509.0,0.659,0.304
157,1703,2747.0,0.663,0.286
158,1704,3011.0,0.679,0.3
159,1705,1305.0,0.658,0.304
160,1706,1456.0,0.641,0.306
161,1707,1391.0,0.585,0.29
162,1708,1994.0,0.658,0.32
163,1709,1430.0,0.66,0.32
164,1710,2203.0,0.611,0.293
165,1711,754.0,0.687,0.309
166,1712,1203.0,0.628,0.281
167,1713,2559.0,0.651,0.27
168,1714,1597.0,0.649,0.263
169,1801,3656.0,0.692,0.274
170,1802,2550.0,0.716,0.264
171,1803,3152.0,0.66,0.247
172,1804,2655.0,0.659,0.261
173,1805,1848.0,0.665,0.257
174,1806,2088.0,0.665,0.257
175,1807,2793.0,0.625,0.29
176,1808,4524.0,0.664,0.256
177,1809,2403.0,0.667,0.294
178,1810,2766.0,0.675,0.285
179,1811,2214.0,0.626,0.251
180,1812,2219.0,0.692,0.269
181,1813,1334.0,0.685,0.25
182,1814,1342.0,0.626,0.296
183,1815,2185.0,0.684,0.251
184,1816,3124.0,0.662,0.3
185,1817,2227.0,0.661,0.301
186,1818,3023.0,0.669,0.271
187,1819,3447.0,0.609,0.263
188,1820,3072.0,0.626,0.275
189,1821,3125.0,0.612,0.245
190,1822,2569.0,0.607,0.31
191,1823,1459.0,0.661,0.346
192,1901,1658.0,0.759,0.259
193,1902,2227.0,0.682,0.244
194,1903,1615.0,0.671,0.299
195,1904,1924.0,0.687,0.278
196,1905,1349.0,0.633,0.311
197,1906,1999.0,0.645,0.311
198,1907,3862.0,0.655,0.316
199,1908,894.0,0.577,0.308
200,1909,943.0,0.633,0.28
201,1910,2824.0,0.686,0.292
202,1911,1654.0,0.677,0.309
203,1912,1250.0,0.653,0.331
204,1913,1760.0,0.698,0.294
205,2001,1897.0,0.652,0.263
206,2002,2205.0,0.672,0.274
207,2003,3486.0,0.659,0.335
208,2004,1769.0,0.652,0.263
209,2005,3525.0,0.624,0.325
210,2006,2288.0,0.662,0.25
211,2007,1461.0,0.639,0.269
212,2008,1719.0,0.655,0.304
213,2009,2216.0,0.663,0.297
214,2010,2477.0,0.602,0.284
215,2011,1021.0,0.586,0.282
216,2012,1600.0,0.622,0.276
217,2013,857.0,0.629,0.272
218,2014,1437.0,0.586,0.281
219,2015,2127.0,0.643,0.328
220,2016,1880.0,0.614,0.353
221,2017,3855.0,0.669,0.252
222,2018,1317.0,0.622,0.276
223,2019,888.0,0.642,0.264
224,2020,1489.0,0.662,0.256
225,2101,3158.0,0.873,0.241
226,2102,4234.0,0.946,0.355
227,2103,3172.0,0.855,0.143
228,2104,1946.0,0.808,0.2
229,2105,3248.0,0.782,0.201
230,2106,1968.0,0.773,0.208
231,2107,2315.0,0.766,0.213
232,2108,2749.0,0.774,0.201
233,2109,4089.0,0.776,0.203
234,2110,1707.0,0.834,0.155
235,2111,2515.0,0.833,0.17
236,2112,2213.0,0.844,0.145
237,2113,3117.0,0.833,0.163
238,2114,1111.0,0.849,0.148
239,2115,925.0,0.853,0.147
240,2116,4617.0,0.879,0.172
241,2201,7387.0,0.861,0.297
242,2202,3007.0,0.78,0.218
243,2203,2836.0,0.767,0.223
244,2204,1527.0,0.749,0.196
245,2205,1402.0,0.681,0.277
246,2206,1139.0,0.779,0.202
247,2207,1840.0,0.734,0.207
248,2208,3052.0,0.76,0.177
249,2209,1524.0,0.761,0.171
250,2210,2259.0,0.733,0.228
251,2211,2101.0,0.729,0.214
252,2212,2351.0,0.706,0.281
253,2213,1200.0,0.733,0.216
