,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,CVAP 2009,CVAP 2017,CVAP 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Neighborhood
0,0101,397,280,397,495.0,534.0,889.0,889.0,0.74,0.31,0.74,0.56,-0.43,-0.17999999999999994,-117,98.0,East Boston
1,0102,273,147,273,298.0,814.0,1286.0,1286.0,0.34,0.11,0.34,0.23,-0.23000000000000004,-0.11000000000000001,-126,25.0,East Boston
2,0103,600,374,600,711.0,1422.0,1908.0,1908.0,0.42,0.2,0.42,0.37,-0.21999999999999997,-0.04999999999999999,-226,111.0,East Boston
3,0104,183,125,183,230.0,537.0,1015.0,1015.0,0.34,0.12,0.34,0.23,-0.22000000000000003,-0.11000000000000001,-58,47.0,East Boston
4,0105,286,133,286,355.0,980.0,1169.0,1169.0,0.29,0.11,0.29,0.3,-0.18,0.010000000000000009,-153,69.0,East Boston
5,0106,254,153,254,313.0,1030.0,1431.0,1431.0,0.25,0.11,0.25,0.22,-0.14,-0.03,-101,59.0,East Boston
6,0107,260,150,260,340.0,1111.0,1489.0,1489.0,0.23,0.1,0.23,0.23,-0.13,0.0,-110,80.0,East Boston
7,0108,381,239,381,477.0,1120.0,1236.0,1236.0,0.34,0.19,0.34,0.39,-0.15000000000000002,0.04999999999999999,-142,96.0,East Boston
8,0109,215,149,215,344.0,568.0,590.0,590.0,0.38,0.25,0.38,0.58,-0.13,0.19999999999999996,-66,129.0,East Boston
9,0110,157,92,157,193.0,766.0,938.0,938.0,0.2,0.1,0.2,0.21,-0.1,0.009999999999999981,-65,36.0,East Boston
10,0111,526,257,526,566.0,1169.0,1148.0,1148.0,0.45,0.22,0.45,0.49,-0.23,0.03999999999999998,-269,40.0,East Boston
11,0112,532,245,532,542.0,1104.0,1469.0,1469.0,0.48,0.17,0.48,0.37,-0.30999999999999994,-0.10999999999999999,-287,10.0,East Boston
12,0113,583,274,583,637.0,1372.0,1620.0,1620.0,0.42,0.17,0.42,0.39,-0.24999999999999997,-0.02999999999999997,-309,54.0,East Boston
13,0114,318,137,318,330.0,683.0,868.0,868.0,0.47,0.16,0.47,0.38,-0.30999999999999994,-0.08999999999999997,-181,12.0,East Boston
14,0115,1,0,1,0.0,94.0,88.0,88.0,0.01,0.0,0.01,0.0,-0.01,-0.01,-1,-1.0,Harbor Islands
15,0201,712,390,712,794.0,2748.0,2921.0,2921.0,0.26,0.13,0.26,0.27,-0.13,0.010000000000000009,-322,82.0,Charlestown
16,0202,646,360,646,875.0,2030.0,2514.0,2514.0,0.32,0.14,0.32,0.35,-0.18,0.02999999999999997,-286,229.0,Charlestown
17,0203,540,274,540,585.0,1063.0,1098.0,1098.0,0.51,0.25,0.51,0.53,-0.26,0.020000000000000018,-266,45.0,Charlestown
18,0204,396,237,396,548.0,1261.0,1371.0,1371.0,0.31,0.17,0.31,0.4,-0.13999999999999999,0.09000000000000002,-159,152.0,Charlestown
19,0205,558,242,558,589.0,1125.0,1240.0,1240.0,0.5,0.2,0.5,0.48,-0.3,-0.020000000000000018,-316,31.0,Charlestown
20,0206,747,370,747,860.0,1010.0,1108.0,1108.0,0.74,0.33,0.74,0.78,-0.41,0.040000000000000036,-377,113.0,Charlestown
21,0207,475,284,475,571.0,1333.0,1756.0,1756.0,0.36,0.16,0.36,0.33,-0.19999999999999998,-0.02999999999999997,-191,96.0,Charlestown
22,0301,1113,378,1113,1107.0,1386.0,1475.0,1475.0,0.8,0.26,0.8,0.75,-0.54,-0.050000000000000044,-735,-6.0,Downtown
23,0302,398,142,398,463.0,1762.0,1864.0,1864.0,0.23,0.08,0.23,0.25,-0.15000000000000002,0.01999999999999999,-256,65.0,West End
24,0303,400,195,400,503.0,2429.0,2522.0,2522.0,0.16,0.08,0.16,0.2,-0.08,0.04000000000000001,-205,103.0,Downtown
25,0304,518,218,518,561.0,1655.0,1781.0,1781.0,0.31,0.12,0.31,0.31,-0.19,0.0,-300,43.0,Downtown
26,0305,752,550,752,659.0,3116.0,3779.0,3779.0,0.24,0.15,0.24,0.17,-0.09,-0.06999999999999998,-202,-93.0,North End
27,0306,755,439,755,733.0,5412.0,6194.0,6194.0,0.14,0.07,0.14,0.12,-0.07,-0.020000000000000018,-316,-22.0,Beacon Hill
28,0307,986,499,986,1224.0,3032.0,3235.0,3235.0,0.33,0.15,0.33,0.38,-0.18000000000000002,0.04999999999999999,-487,238.0,South End
29,0308,941,870,941,1306.0,4970.0,6384.0,6384.0,0.19,0.14,0.19,0.2,-0.04999999999999999,0.010000000000000009,-71,365.0,Beacon Hill
30,0401,593,334,593,670.0,1540.0,1745.0,1745.0,0.39,0.19,0.39,0.38,-0.2,-0.010000000000000009,-259,77.0,South End
31,0402,643,385,643,698.0,3750.0,3982.0,3982.0,0.17,0.1,0.17,0.18,-0.07,0.009999999999999981,-258,55.0,South End
32,0403,340,224,340,425.0,1164.0,1277.0,1277.0,0.29,0.18,0.29,0.33,-0.10999999999999999,0.040000000000000036,-116,85.0,Back Bay
33,0404,560,300,560,465.0,1713.0,1962.0,1962.0,0.33,0.15,0.33,0.24,-0.18000000000000002,-0.09000000000000002,-260,-95.0,Back Bay
34,0405,323,217,323,343.0,2283.0,1847.0,1847.0,0.14,0.12,0.14,0.19,-0.020000000000000018,0.04999999999999999,-106,20.0,Fenway
35,0406,305,220,305,277.0,2094.0,1967.0,1967.0,0.15,0.11,0.15,0.14,-0.039999999999999994,-0.009999999999999981,-85,-28.0,Fenway
36,0407,262,191,262,251.0,2401.0,2233.0,2233.0,0.11,0.09,0.11,0.11,-0.020000000000000004,0.0,-71,-11.0,Back Bay
37,0408,234,201,234,263.0,6264.0,5345.0,5345.0,0.04,0.04,0.04,0.05,0.0,0.010000000000000002,-33,29.0,Mission Hill
38,0409,112,73,112,121.0,3683.0,4307.0,4307.0,0.03,0.02,0.03,0.03,-0.009999999999999998,0.0,-39,9.0,Roxbury
39,0410,42,38,42,61.0,5228.0,5757.0,5757.0,0.01,0.01,0.01,0.01,0.0,0.0,-4,19.0,Mission Hill
40,0501,1057,720,1057,1266.0,4768.0,5158.0,5158.0,0.22,0.14,0.22,0.25,-0.07999999999999999,0.03,-337,209.0,Beacon Hill
41,0502,377,337,377,254.0,3777.0,3754.0,3754.0,0.1,0.09,0.1,0.07,-0.010000000000000009,-0.03,-40,-123.0,Fenway
42,0503,459,395,459,353.0,2119.0,2276.0,2276.0,0.22,0.17,0.22,0.16,-0.04999999999999999,-0.06,-64,-106.0,Back Bay
43,0504,398,333,398,370.0,1837.0,1776.0,1776.0,0.22,0.19,0.22,0.21,-0.03,-0.010000000000000009,-65,-28.0,West End
44,0505,221,205,221,237.0,821.0,945.0,945.0,0.27,0.22,0.27,0.25,-0.05000000000000002,-0.020000000000000018,-16,16.0,Back Bay
45,0506,420,313,420,364.0,2081.0,2196.0,2196.0,0.2,0.14,0.2,0.17,-0.06,-0.03,-107,-56.0,Beacon Hill
46,0507,520,367,520,489.0,2065.0,2163.0,2163.0,0.25,0.17,0.25,0.23,-0.07999999999999999,-0.01999999999999999,-153,-31.0,Back Bay
47,0508,478,328,478,410.0,2199.0,2268.0,2268.0,0.22,0.14,0.22,0.18,-0.07999999999999999,-0.04000000000000001,-150,-68.0,Back Bay
48,0509,470,361,470,450.0,3501.0,3535.0,3535.0,0.13,0.1,0.13,0.13,-0.03,0.0,-109,-20.0,Fenway
49,0510,286,216,286,289.0,4924.0,4508.0,4508.0,0.06,0.05,0.06,0.06,-0.009999999999999995,0.0,-70,3.0,Back Bay
50,0511,382,298,382,328.0,1674.0,1748.0,1748.0,0.23,0.17,0.23,0.19,-0.06,-0.04000000000000001,-84,-54.0,Back Bay
51,0601,683,494,683,974.0,3073.0,4928.0,4928.0,0.22,0.1,0.22,0.2,-0.12,-0.01999999999999999,-189,291.0,South Boston
52,0602,387,187,387,376.0,1424.0,1738.0,1738.0,0.27,0.11,0.27,0.22,-0.16000000000000003,-0.05000000000000002,-200,-11.0,South Boston
53,0603,471,196,471,407.0,1021.0,1334.0,1334.0,0.46,0.15,0.46,0.31,-0.31000000000000005,-0.15000000000000002,-275,-64.0,South Boston
54,0604,541,227,541,483.0,1603.0,1986.0,1986.0,0.34,0.11,0.34,0.24,-0.23000000000000004,-0.10000000000000003,-314,-58.0,South Boston
55,0605,544,253,544,455.0,1571.0,1898.0,1898.0,0.35,0.13,0.35,0.24,-0.21999999999999997,-0.10999999999999999,-291,-89.0,South Boston
56,0606,644,340,644,545.0,1352.0,1637.0,1637.0,0.48,0.21,0.48,0.33,-0.27,-0.14999999999999997,-304,-99.0,South Boston
57,0607,587,318,587,494.0,1738.0,2086.0,2086.0,0.34,0.15,0.34,0.24,-0.19000000000000003,-0.10000000000000003,-269,-93.0,South Boston
58,0608,650,293,650,477.0,1199.0,1367.0,1367.0,0.54,0.21,0.54,0.35,-0.33000000000000007,-0.19000000000000006,-357,-173.0,South Boston
59,0609,668,302,668,495.0,1626.0,1907.0,1907.0,0.41,0.16,0.41,0.26,-0.24999999999999997,-0.14999999999999997,-366,-173.0,South Boston
60,0701,610,346,610,537.0,1592.0,1845.0,1845.0,0.38,0.19,0.38,0.29,-0.19,-0.09000000000000002,-264,-73.0,South Boston
61,0702,695,314,695,557.0,1454.0,1769.0,1769.0,0.48,0.18,0.48,0.31,-0.3,-0.16999999999999998,-381,-138.0,South Boston
62,0703,881,391,881,669.0,2190.0,2670.0,2670.0,0.4,0.15,0.4,0.25,-0.25,-0.15000000000000002,-490,-212.0,South Boston
63,0704,552,193,552,426.0,1458.0,1635.0,1635.0,0.38,0.12,0.38,0.26,-0.26,-0.12,-359,-126.0,South Boston
64,0705,403,190,403,397.0,2093.0,2587.0,2587.0,0.19,0.07,0.19,0.15,-0.12,-0.04000000000000001,-213,-6.0,Dorchester
65,0706,421,199,421,367.0,946.0,1038.0,1038.0,0.45,0.19,0.45,0.35,-0.26,-0.10000000000000003,-222,-54.0,Dorchester
66,0707,288,165,288,319.0,1246.0,1529.0,1529.0,0.23,0.11,0.23,0.21,-0.12000000000000001,-0.020000000000000018,-123,31.0,Dorchester
67,0708,317,181,317,349.0,1685.0,2012.0,2012.0,0.19,0.09,0.19,0.17,-0.1,-0.01999999999999999,-136,32.0,Roxbury
68,0709,333,177,333,325.0,927.0,1103.0,1103.0,0.36,0.16,0.36,0.29,-0.19999999999999998,-0.07,-156,-8.0,Roxbury
69,0710,330,116,330,279.0,1169.0,1775.0,1775.0,0.28,0.07,0.28,0.16,-0.21000000000000002,-0.12000000000000002,-214,-51.0,Roxbury
70,0801,222,171,222,337.0,1707.0,2533.0,2533.0,0.13,0.07,0.13,0.13,-0.06,0.0,-51,115.0,Downtown
71,0802,456,327,456,557.0,3187.0,3449.0,3449.0,0.14,0.09,0.14,0.16,-0.05000000000000002,0.01999999999999999,-129,101.0,Roxbury
72,0803,264,142,264,259.0,1558.0,1801.0,1801.0,0.17,0.08,0.17,0.14,-0.09000000000000001,-0.03,-122,-5.0,South End
73,0804,150,89,150,195.0,691.0,931.0,931.0,0.22,0.1,0.22,0.21,-0.12,-0.010000000000000009,-61,45.0,Roxbury
74,0805,347,163,347,370.0,847.0,1300.0,1300.0,0.41,0.13,0.41,0.28,-0.27999999999999997,-0.12999999999999995,-184,23.0,Dorchester
75,0806,134,53,134,120.0,1362.0,1422.0,1422.0,0.1,0.04,0.1,0.08,-0.060000000000000005,-0.020000000000000004,-81,-14.0,Dorchester
76,0807,255,120,255,228.0,554.0,650.0,650.0,0.46,0.18,0.46,0.35,-0.28,-0.11000000000000004,-135,-27.0,Roxbury
77,0901,473,297,473,631.0,2178.0,2070.0,2070.0,0.22,0.14,0.22,0.3,-0.07999999999999999,0.07999999999999999,-176,158.0,South End
78,0902,470,310,470,549.0,2210.0,2194.0,2194.0,0.21,0.14,0.21,0.25,-0.06999999999999998,0.04000000000000001,-160,79.0,Roxbury
79,0903,648,397,648,680.0,2938.0,3504.0,3504.0,0.22,0.11,0.22,0.19,-0.11,-0.03,-251,32.0,Back Bay
80,0904,390,229,390,424.0,1935.0,3000.0,3000.0,0.2,0.08,0.2,0.14,-0.12000000000000001,-0.06,-161,34.0,Mission Hill
81,0905,595,410,595,668.0,2288.0,3193.0,3193.0,0.26,0.13,0.26,0.21,-0.13,-0.05000000000000002,-185,73.0,Roxbury
82,1001,227,214,227,259.0,650.0,877.0,877.0,0.35,0.24,0.35,0.3,-0.10999999999999999,-0.04999999999999999,-13,32.0,Longwood
83,1002,248,149,248,185.0,1422.0,1684.0,1684.0,0.17,0.09,0.17,0.11,-0.08000000000000002,-0.06000000000000001,-99,-63.0,Mission Hill
84,1003,221,128,221,166.0,1629.0,1669.0,1669.0,0.14,0.08,0.14,0.1,-0.06000000000000001,-0.04000000000000001,-93,-55.0,Longwood
85,1004,493,345,493,397.0,1241.0,1258.0,1258.0,0.4,0.27,0.4,0.32,-0.13,-0.08000000000000002,-148,-96.0,Longwood
86,1005,304,188,304,241.0,2323.0,2274.0,2274.0,0.13,0.08,0.13,0.11,-0.05,-0.020000000000000004,-116,-63.0,Roxbury
87,1006,267,147,267,294.0,1500.0,1734.0,1734.0,0.18,0.08,0.18,0.17,-0.09999999999999999,-0.009999999999999981,-120,27.0,Mission Hill
88,1007,393,253,393,406.0,1281.0,1762.0,1762.0,0.31,0.14,0.31,0.23,-0.16999999999999998,-0.07999999999999999,-140,13.0,Mission Hill
89,1008,398,358,398,489.0,2365.0,2213.0,2213.0,0.17,0.16,0.17,0.22,-0.010000000000000009,0.04999999999999999,-40,91.0,Mission Hill
90,1009,521,374,521,545.0,1676.0,1818.0,1818.0,0.31,0.21,0.31,0.3,-0.1,-0.010000000000000009,-147,24.0,Jamaica Plain
91,1101,278,163,278,272.0,1277.0,1418.0,1418.0,0.22,0.11,0.22,0.19,-0.11,-0.03,-115,-6.0,Jamaica Plain
92,1102,405,290,405,488.0,1272.0,1760.0,1760.0,0.32,0.16,0.32,0.28,-0.16,-0.03999999999999998,-115,83.0,Jamaica Plain
93,1103,292,166,292,321.0,878.0,1305.0,1305.0,0.33,0.13,0.33,0.25,-0.2,-0.08000000000000002,-126,29.0,Roxbury
94,1104,454,330,454,559.0,1867.0,2269.0,2269.0,0.24,0.15,0.24,0.25,-0.09,0.010000000000000009,-124,105.0,Roxbury
95,1105,443,270,443,459.0,1133.0,1338.0,1338.0,0.39,0.2,0.39,0.34,-0.19,-0.04999999999999999,-173,16.0,Roxbury
96,1106,380,278,380,446.0,1288.0,1443.0,1443.0,0.3,0.19,0.3,0.31,-0.10999999999999999,0.010000000000000009,-102,66.0,Jamaica Plain
97,1107,502,330,502,529.0,1653.0,1864.0,1864.0,0.3,0.18,0.3,0.28,-0.12,-0.019999999999999962,-172,27.0,Roxbury
98,1108,496,401,496,582.0,1992.0,2388.0,2388.0,0.25,0.17,0.25,0.24,-0.07999999999999999,-0.010000000000000009,-95,86.0,Roxbury
99,1109,393,263,393,409.0,796.0,955.0,955.0,0.49,0.28,0.49,0.43,-0.20999999999999996,-0.06,-130,16.0,Jamaica Plain
100,1110,416,311,416,445.0,881.0,1042.0,1042.0,0.47,0.3,0.47,0.43,-0.16999999999999998,-0.03999999999999998,-105,29.0,Jamaica Plain
101,1201,486,323,486,543.0,1585.0,2041.0,2041.0,0.31,0.16,0.31,0.27,-0.15,-0.03999999999999998,-163,57.0,Roxbury
102,1202,610,321,610,555.0,1841.0,2217.0,2217.0,0.33,0.14,0.33,0.25,-0.19,-0.08000000000000002,-289,-55.0,Dorchester
103,1203,299,185,299,315.0,716.0,923.0,923.0,0.42,0.2,0.42,0.34,-0.21999999999999997,-0.07999999999999996,-114,16.0,Roxbury
104,1204,269,177,269,305.0,914.0,1161.0,1161.0,0.29,0.15,0.29,0.26,-0.13999999999999999,-0.02999999999999997,-92,36.0,Roxbury
105,1205,279,173,279,250.0,567.0,730.0,730.0,0.49,0.24,0.49,0.34,-0.25,-0.14999999999999997,-106,-29.0,Roxbury
106,1206,247,164,247,305.0,900.0,1087.0,1087.0,0.27,0.15,0.27,0.28,-0.12000000000000002,0.010000000000000009,-83,58.0,Dorchester
107,1207,600,333,600,637.0,2504.0,3036.0,3036.0,0.24,0.11,0.24,0.21,-0.13,-0.03,-267,37.0,Mattapan
108,1208,186,105,186,193.0,759.0,972.0,972.0,0.25,0.11,0.25,0.2,-0.14,-0.04999999999999999,-81,7.0,Roxbury
109,1209,296,169,296,304.0,1080.0,1341.0,1341.0,0.27,0.13,0.27,0.23,-0.14,-0.04000000000000001,-127,8.0,Roxbury
110,1301,388,199,388,397.0,1108.0,1429.0,1429.0,0.35,0.14,0.35,0.28,-0.20999999999999996,-0.06999999999999995,-189,9.0,Dorchester
111,1302,114,64,114,130.0,487.0,648.0,648.0,0.23,0.1,0.23,0.2,-0.13,-0.03,-50,16.0,Dorchester
112,1303,287,139,287,246.0,1349.0,1413.0,1413.0,0.21,0.1,0.21,0.17,-0.10999999999999999,-0.03999999999999998,-148,-41.0,South Boston
113,1304,242,135,242,240.0,1032.0,1455.0,1455.0,0.23,0.09,0.23,0.16,-0.14,-0.07,-107,-2.0,Roxbury
114,1305,250,136,250,266.0,967.0,1277.0,1277.0,0.26,0.11,0.26,0.21,-0.15000000000000002,-0.05000000000000002,-114,16.0,Dorchester
115,1306,399,211,399,408.0,1142.0,1352.0,1352.0,0.35,0.16,0.35,0.3,-0.18999999999999997,-0.04999999999999999,-188,9.0,Dorchester
116,1307,421,237,421,475.0,776.0,1022.0,1022.0,0.54,0.23,0.54,0.46,-0.31000000000000005,-0.08000000000000002,-184,54.0,Dorchester
117,1308,347,201,347,382.0,1057.0,1462.0,1462.0,0.33,0.14,0.33,0.26,-0.19,-0.07,-146,35.0,Dorchester
118,1309,411,210,411,403.0,1229.0,1587.0,1587.0,0.33,0.13,0.33,0.25,-0.2,-0.08000000000000002,-201,-8.0,Dorchester
119,1310,755,477,755,769.0,1524.0,1784.0,1784.0,0.5,0.27,0.5,0.43,-0.22999999999999998,-0.07,-278,14.0,Dorchester
120,1401,435,238,435,449.0,2482.0,2699.0,2699.0,0.18,0.09,0.18,0.17,-0.09,-0.009999999999999981,-197,14.0,Roxbury
121,1402,577,294,577,592.0,2324.0,2850.0,2850.0,0.25,0.1,0.25,0.21,-0.15,-0.04000000000000001,-283,15.0,Dorchester
122,1403,307,130,307,280.0,1197.0,1249.0,1249.0,0.26,0.1,0.26,0.22,-0.16,-0.04000000000000001,-177,-27.0,Dorchester
